Year,County,Med_Sales,Rec_Sales
2014,Cheyenne,0.0,0.0
2014,San Miguel,46369.0,591931.0
2014,Sedgwick,0.0,0.0
2014,Summit,177412.0,941538.0
2014,Teller,0.0,0.0
2014,Washington,0.0,0.0
2014,Weld,275556.0,1291047.0
2014,Yuma,0.0,0.0
2014,Adams,453206.0,0.0
2014,Alamosa,0.0,0.0
2014,San Juan,0.0,0.0
2014,Arapahoe,1353297.0,0.0
2014,Baca,0.0,0.0
2014,Bent,0.0,0.0
2014,Boulder,2715576.0,3314834.0
2014,Broomfield,0.0,0.0
2014,Chaffee,0.0,0.0
2014,Cheyenne,0.0,0.0
2014,Clear Creek,102603.0,375860.0
2014,Conejos,0.0,0.0
2014,Costilla,0.0,0.0
2014,Archuleta,0.0,0.0
2014,Crowley,0.0,0.0
2014,Saguache,0.0,0.0
2014,Rio Grande,0.0,0.0
2014,La Plata,657993.0,0.0
2014,Lake,0.0,0.0
2014,Larimer,1207539.0,1340810.0
2014,Las Animas,0.0,0.0
2014,Lincoln,0.0,0.0
2014,Logan,0.0,0.0
2014,Mesa,0.0,0.0
2014,Mineral,0.0,0.0
2014,Moffat,0.0,0.0
2014,Routt,170505.0,0.0
2014,Montezuma,132833.0,0.0
2014,Morgan,0.0,0.0
2014,Otero,0.0,0.0
2014,Ouray,0.0,0.0
2014,Park,0.0,0.0
2014,Phillips,0.0,0.0
2014,Pitkin,115179.0,502231.0
2014,Prowers,0.0,0.0
2014,Pueblo,460037.0,1685115.0
2014,Rio Blanco,0.0,0.0
2014,Montrose,0.0,0.0
2014,Kit Carson,0.0,0.0
2014,Custer,0.0,0.0
2014,Denver,15196933.0,14364191.0
2014,Moffat,0.0,0.0
2014,Montezuma,125628.0,0.0
2014,Montrose,0.0,0.0
2014,Morgan,0.0,0.0
2014,Otero,0.0,0.0
2014,Ouray,0.0,0.0
2014,Park,0.0,0.0
2014,Phillips,0.0,0.0
2014,Pitkin,100612.0,316259.0
2014,Mineral,0.0,0.0
2014,Prowers,0.0,0.0
2014,Rio Blanco,0.0,0.0
2014,Rio Grande,0.0,0.0
2014,Routt,167807.0,0.0
2014,Saguache,0.0,0.0
2014,San Juan,0.0,0.0
2014,San Miguel,39758.0,501532.0
2014,Sedgwick,0.0,0.0
2014,Summit,179358.0,726128.0
2014,Teller,0.0,0.0
2014,Pueblo,436843.0,1386314.0
2014,Delta,0.0,0.0
2014,Mesa,0.0,0.0
2014,Lincoln,0.0,0.0
2014,Dolores,0.0,0.0
2014,Douglas,0.0,0.0
2014,Eagle,181480.0,379890.0
2014,El Paso,5953327.0,0.0
2014,Elbert,0.0,0.0
2014,Fremont,233349.0,0.0
2014,Garfield,527700.0,537711.0
2014,Gilpin,39786.0,138821.0
2014,Grand,0.0,0.0
2014,Logan,0.0,0.0
2014,Gunnison,0.0,255533.0
2014,Huerfano,0.0,0.0
2014,Jackson,0.0,0.0
2014,Jefferson,1845807.0,1701706.0
2014,Kiowa,0.0,0.0
2014,Kit Carson,0.0,0.0
2014,La Plata,623331.0,0.0
2014,Lake,0.0,0.0
2014,Larimer,1315740.0,1378589.0
2014,Las Animas,0.0,0.0
2014,Hinsdale,0.0,0.0
2014,Washington,0.0,0.0
2014,Kiowa,0.0,0.0
2014,Jackson,0.0,0.0
2014,Grand,0.0,0.0
2014,Gunnison,0.0,307664.0
2014,Hinsdale,0.0,0.0
2014,Huerfano,0.0,0.0
2014,Jackson,0.0,0.0
2014,Jefferson,1913729.0,1699749.0
2014,Kiowa,0.0,0.0
2014,Kit Carson,0.0,0.0
2014,La Plata,604088.0,0.0
2014,Gilpin,36110.0,160328.0
2014,Lake,0.0,0.0
2014,Las Animas,0.0,0.0
2014,Lincoln,0.0,0.0
2014,Logan,0.0,0.0
2014,Mesa,0.0,0.0
2014,Mineral,0.0,0.0
2014,Moffat,0.0,0.0
2014,Montezuma,120802.0,0.0
2014,Montrose,0.0,0.0
2014,Morgan,0.0,0.0
2014,Larimer,1087000.0,1083910.0
2014,Otero,0.0,0.0
2014,Garfield,446439.0,403958.0
2014,Elbert,0.0,0.0
2014,Alamosa,0.0,0.0
2014,Arapahoe,1470823.0,0.0
2014,Archuleta,0.0,0.0
2014,Baca,0.0,0.0
2014,Bent,0.0,0.0
2014,Boulder,2547883.0,3192671.0
2014,Broomfield,0.0,0.0
2014,Chaffee,92938.0,0.0
2014,Cheyenne,0.0,0.0
2014,Fremont,250084.0,0.0
2014,Clear Creek,108796.0,473299.0
2014,Costilla,0.0,0.0
2014,Crowley,0.0,0.0
2014,Custer,0.0,0.0
2014,Delta,0.0,0.0
2014,Denver,14083010.0,14518417.0
2014,Dolores,0.0,0.0
2014,Douglas,0.0,0.0
2014,Eagle,165132.0,0.0
2014,El Paso,5895119.0,0.0
2014,Conejos,0.0,0.0
2014,Jefferson,2021406.0,1858831.0
2014,Ouray,0.0,0.0
