"Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)" 1 2
"Annual"
"Table: 36-10-0434-06 (formerly CANSIM 379-0031)"
"Geography: Canada"

"Seasonal adjustment","Prices","Geography","North American Industry Classification System (NAICS)","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Seasonally adjusted at annual rates","Chained (2012) dollars 3","Canada","","Dollars",,,,,,,,,,,,,,,,,,,,,,,
,,,"Cannabis production  [111C]","1,414","1,561","1,616","1,654","1,978","2,088","2,183","2,201","2,291","2,496","2,589","2,622","2,775","2,854","2,955","3,070","3,383","3,634","3,906","3,988","3,961","4,700","6,471",""
,,,"Cannabis production (licensed)  [111CL]","","","","","","0","0","0","0","0","0","2","1","2","2","3","5","20","41","115","178","805","3,202",""
,,,"Cannabis production (unlicensed)  [111CU]","1,414","1,561","1,616","1,654","1,978","2,088","2,183","2,201","2,291","2,496","2,589","2,621","2,774","2,852","2,953","3,067","3,378","3,616","3,871","3,884","3,791","3,876","3,138",""
,,,"Animal production  [112]","3,747","3,758","4,172","4,507","4,905","4,457","4,595","5,228","5,090","4,873","4,895","4,730","5,113","5,270","5,014","4,978","4,868","4,834","5,038","5,137","5,315","5,413","5,521",""
,,,"Forestry and logging  [113]","4,294","4,296","4,439","4,670","4,668","4,858","4,698","4,953","5,002","4,805","4,357","4,066","3,187","3,661","4,016","3,937","4,057","4,191","4,262","4,040","3,944","4,011","3,622",""
,,,"Fishing, hunting and trapping  [114]","1,274","1,197","1,175","1,202","1,296","1,347","1,365","1,379","1,311","1,318","1,191","1,239","1,205","1,277","1,248","1,269","1,295","1,346","1,271","1,162","1,174","1,106","1,112",""
,,,"Support activities for agriculture and forestry  [115]","2,005","2,166","2,259","2,305","2,272","2,269","2,276","2,269","2,306","2,297","2,351","2,193","2,276","2,314","2,385","2,323","2,470","2,469","2,497","2,515","2,587","2,546","2,626",""
,,,"Mining, quarrying, and oil and gas extraction  [21]","103,724","102,944","106,256","108,450","108,195","109,268","114,238","118,144","120,655","124,367","123,492","120,897","108,195","118,700","126,955","124,526","131,038","141,701","137,783","136,007","147,352","155,016","147,879",""
,,,"Oil and gas extraction  [211]","66,923","65,892","70,042","68,935","68,182","70,037","72,740","74,949","75,820","78,311","78,147","75,157","72,706","75,836","79,486","77,911","81,814","89,393","92,565","93,122","100,010","107,761","109,254",""
,,,"Oil and gas extraction (except oil sands)  [21111]","","","","","","","","","","","56,610","53,310","47,788","48,084","49,338","46,017","47,834","49,941","47,126","46,265","48,564","52,313","53,751",""
,,,"Oil sands extraction  [21114]","","","","","","","","","","","20,767","21,378","24,853","27,694","30,095","31,895","33,990","39,567","46,067","47,519","52,125","56,180","56,264",""
,,,"Mining and quarrying (except oil and gas)  [212]","26,995","27,469","28,487","29,460","29,571","28,731","29,847","31,116","31,252","30,074","30,216","30,419","22,174","26,796","28,691","27,537","29,971","32,016","32,859","33,512","34,656","34,478","33,797",""
,,,"Coal mining  [2121]","5,115","5,014","4,955","5,262","5,806","4,629","3,563","4,420","4,578","3,805","3,632","3,864","3,241","3,682","3,640","3,717","4,104","4,017","3,445","3,594","3,607","3,454","3,383",""
,,,"Metal ore mining  [2122]","16,036","16,879","16,083","17,176","16,177","15,648","15,263","15,055","15,175","15,270","14,697","15,233","12,649","13,252","14,465","14,668","16,259","17,432","18,614","19,186","18,835","18,240","18,736",""
,,,"Iron ore mining  [21221]","3,390","3,340","3,012","4,146","2,848","2,854","3,622","3,074","3,378","3,646","3,315","3,286","3,029","3,533","3,405","3,559","3,975","4,508","5,030","5,211","5,556","6,132","6,961",""
,,,"Gold and silver ore mining  [21222]","6,159","6,927","6,175","5,993","6,286","5,776","5,573","4,902","4,591","3,763","3,364","3,257","3,443","3,354","3,184","3,200","3,989","4,613","4,786","4,801","5,252","5,597","5,505",""
,,,"Copper, nickel, lead and zinc ore mining  [21223]","6,983","7,321","7,060","6,991","6,903","6,293","5,833","6,455","6,590","7,010","7,042","7,526","5,097","5,281","6,770","6,732","7,236","7,205","7,539","7,928","7,107","6,218","6,508",""
,,,"Other metal ore mining  [21229]","867","857","1,049","1,648","1,408","2,057","1,919","1,607","1,513","1,279","1,018","1,011","1,135","1,166","1,109","1,178","1,085","1,267","1,526","1,553","1,359","1,043","950",""
,,,"Non-metallic mineral mining and quarrying  [2123]","6,981","6,798","8,090","7,906","8,469","8,849","10,743","11,541","11,417","10,627","12,345","11,472","6,517","9,901","10,684","9,151","9,612","10,467","10,467","10,403","12,069","12,745","11,492",""
,,,"Stone mining and quarrying  [21231]","575","583","587","669","752","704","696","756","775","840","855","862","807","1,043","1,070","934","901","936","907","915","942","964","1,006",""
,,,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying  [21232]","743","775","825","842","883","877","878","930","1,070","1,036","925","1,045","804","845","1,036","969","948","1,011","940","868","909","960","1,023",""
,,,"Other non-metallic mineral mining and quarrying  [21239]","5,348","5,061","6,399","6,001","6,398","6,972","9,325","10,027","9,552","8,551","10,916","9,660","4,863","8,025","8,575","7,248","7,777","8,554","8,689","8,729","10,558","11,212","9,526",""
,,,"Potash mining  [212396]","6,876","6,313","6,482","6,652","5,770","5,976","6,886","7,665","7,612","5,998","7,933","6,807","2,581","5,822","6,626","5,485","6,035","6,448","6,668","6,351","7,202","8,051","7,306",""
,,,"Other non-metallic mineral mining and quarrying (except potash)  [21239X] 4","","","","","","","","","","","2,702","2,508","2,109","2,101","1,961","1,763","1,765","2,069","2,023","2,246","2,975","2,942","2,250",""
,,,"Support activities for mining and oil and gas extraction  [213]","9,717","9,466","8,416","10,784","11,474","10,867","12,142","12,821","14,890","17,261","16,023","17,248","12,753","15,750","18,699","19,078","19,338","20,194","14,293","12,474","15,152","16,171","11,654",""
,,,"Utilities  [22]","32,829","32,499","32,701","32,798","31,982","33,885","34,238","34,416","36,029","35,689","37,794","39,417","37,524","38,060","39,342","38,953","38,997","40,343","40,538","41,427","42,385","43,285","43,943",""
,,,"Electric power generation, transmission and distribution  [2211]","27,109","26,720","26,522","26,219","25,646","26,979","27,558","27,697","29,514","29,096","30,849","32,367","30,232","30,780","31,476","30,627","30,962","31,990","32,397","33,540","34,245","34,706","34,950",""
,,,"Natural gas distribution  [2212]","3,519","3,462","3,663","3,905","3,639","4,126","3,904","3,860","3,667","3,544","3,783","4,008","4,099","3,974","4,415","4,859","4,562","4,894","4,731","4,495","4,696","5,099","5,476",""
,,,"Water, sewage and other systems  [2213]","2,150","2,296","2,508","2,691","2,743","2,795","2,798","2,895","2,895","3,142","3,250","3,100","3,224","3,376","3,475","3,468","3,473","3,459","3,408","3,392","3,445","3,477","3,512",""
,,,"Construction  [23]","74,212","74,973","78,293","81,868","87,298","92,049","94,750","100,069","104,978","109,246","115,395","118,474","111,197","120,344","125,049","134,959","140,830","144,554","141,176","134,398","140,337","141,851","141,139",""
,,,"Residential building construction  [23A]","22,116","22,558","23,472","24,566","26,704","30,805","32,706","34,778","36,076","36,261","38,268","37,753","35,151","38,242","38,446","41,784","43,398","44,926","47,199","49,751","51,880","52,455","51,400",""
,,,"Non-residential building construction  [23B]","16,296","16,668","19,529","19,394","18,990","20,731","20,026","20,516","20,256","20,825","21,164","20,764","19,886","20,566","20,946","21,055","20,527","20,964","22,351","20,475","20,140","20,737","20,603",""
,,,"Repair construction  [23D]","","","","","","","","","","","16,976","17,267","18,283","18,094","18,844","19,697","20,883","22,304","23,995","23,495","24,755","25,138","25,452",""
,,,"Engineering and other construction activities  [23X]","","","","","","","","","","","38,795","42,784","37,728","43,420","46,800","52,423","56,017","56,400","48,372","41,984","44,731","44,783","44,867",""
,,,"Manufacturing  [31-33]","170,644","179,257","193,568","211,108","203,412","207,146","204,488","209,457","213,663","210,216","203,881","192,987","166,375","174,409","180,460","183,090","182,490","187,914","188,979","188,962","195,927","200,856","201,157",""
,,,"Food manufacturing  [311]","17,613","18,535","18,679","19,432","20,675","20,701","20,387","20,353","21,263","21,853","21,942","22,796","22,602","22,988","22,863","22,622","22,848","24,096","24,472","24,590","25,787","26,719","27,059",""
,,,"Animal food manufacturing  [3111]","888","981","1,028","1,253","1,305","1,402","1,240","1,131","1,185","1,247","1,251","1,195","1,152","1,157","1,171","1,242","1,336","1,342","1,422","1,442","1,523","1,510","1,504",""
,,,"Grain and oilseed milling  [3112]","2,083","2,058","1,740","1,474","1,459","1,574","1,511","1,409","1,359","1,434","1,513","1,660","1,575","1,667","1,833","2,068","2,166","2,202","2,371","2,242","2,325","2,392","2,437",""
,,,"Sugar and confectionery product manufacturing  [3113]","1,201","1,334","1,422","1,372","1,494","1,499","1,716","1,671","1,643","1,611","1,491","1,426","1,370","1,328","1,301","1,308","1,188","1,398","1,494","1,392","1,437","1,492","1,665",""
,,,"Fruit and vegetable preserving and specialty food manufacturing  [3114]","2,029","1,914","2,179","2,251","2,592","2,666","2,519","2,356","2,277","2,253","2,362","2,378","2,329","2,240","2,159","2,197","2,273","2,451","2,412","2,480","2,440","2,546","2,643",""
,,,"Dairy product manufacturing  [3115]","2,494","2,672","2,597","2,631","2,744","2,456","2,483","2,527","2,654","2,750","2,871","3,075","3,033","3,025","2,993","3,046","2,980","2,975","2,829","2,878","3,071","3,087","3,046",""
,,,"Meat product manufacturing  [3116]","3,532","3,886","3,901","4,486","4,771","4,552","4,440","4,647","5,246","5,492","5,355","5,442","5,460","5,929","5,906","5,286","5,094","5,475","5,183","5,222","5,349","5,760","5,564",""
,,,"Seafood product preparation and packaging  [3117]","823","819","948","1,010","1,008","1,113","1,191","1,182","1,115","1,135","1,060","1,045","920","1,073","1,152","1,201","1,140","1,174","1,218","1,261","1,320","1,201","1,253",""
,,,"Bakeries and tortilla manufacturing  [3118]","2,883","3,057","3,060","2,947","3,189","3,210","2,954","3,142","3,217","3,390","3,379","3,759","3,941","3,720","3,408","3,319","3,459","3,485","3,664","3,719","3,989","4,170","4,517",""
,,,"Other food manufacturing  [3119]","1,687","1,843","1,816","2,005","2,145","2,238","2,296","2,307","2,547","2,525","2,638","2,839","2,897","2,848","2,930","2,954","3,216","3,626","3,968","4,007","4,395","4,618","4,552",""
,,,"Beverage and tobacco product manufacturing  [312]","8,408","8,748","7,826","8,217","8,164","8,111","7,792","7,774","7,673","7,582","6,936","6,658","6,477","6,527","6,407","6,608","6,170","6,301","6,649","6,924","7,061","6,842","7,105",""
,,,"Soft drink and ice manufacturing  [31211]","847","1,059","881","960","994","1,208","1,224","1,340","1,262","1,403","1,457","1,458","1,366","1,404","1,416","1,492","1,464","1,547","1,599","1,629","1,578","1,635","1,605",""
,,,"Breweries  [31212]","3,605","3,339","3,368","3,435","3,421","3,191","3,180","3,411","3,648","3,686","3,445","3,411","3,298","3,142","3,134","3,191","2,934","2,989","3,209","3,323","3,498","3,345","3,450",""
,,,"Wineries and distilleries  [3121A] 4","","","","","","","","","","","888","876","859","904","822","885","864","854","892","977","1,037","932","1,109",""
,,,"Tobacco manufacturing  [3122]","4,316","4,893","3,844","3,708","3,248","3,244","2,819","2,350","2,089","1,772","1,153","905","951","1,075","1,036","1,040","909","915","956","997","963","946","959",""
,,,"Textile, clothing and leather product manufacturing  [31X] 4","","","","","","","","","","","3,903","3,343","2,843","2,637","2,638","2,547","2,345","2,420","2,541","2,406","2,547","2,721","2,805",""
,,,"Textile and textile product mills  [31A] 4","2,523","2,783","2,804","3,099","2,921","2,929","2,631","2,650","2,363","2,064","1,817","1,575","1,271","1,313","1,284","1,291","1,158","1,166","1,315","1,216","1,279","1,327","1,287",""
,,,"Clothing and leather and allied product manufacturing  [31B] 4","","","","","","","","","","","2,079","1,762","1,565","1,325","1,352","1,256","1,187","1,255","1,226","1,190","1,269","1,394","1,523",""
,,,"Wood product manufacturing  [321]","6,417","6,714","7,167","7,978","7,592","8,500","8,615","9,026","9,727","9,649","8,893","7,962","6,578","6,934","7,123","7,402","7,983","8,160","8,427","8,966","9,172","8,982","8,314",""
,,,"Sawmills and wood preservation  [3211]","2,989","3,133","3,177","3,508","3,216","3,589","3,551","3,652","4,101","3,979","3,495","3,103","2,531","2,861","2,919","3,020","3,316","3,285","3,386","3,725","3,653","3,546","3,163",""
,,,"Veneer, plywood and engineered wood product manufacturing  [3212]","1,084","1,145","1,321","1,418","1,411","1,616","1,705","1,802","2,031","2,021","1,820","1,564","1,386","1,518","1,498","1,581","1,781","2,144","2,278","2,329","2,659","2,592","2,077",""
,,,"Other wood product manufacturing  [3219]","2,165","2,222","2,541","3,045","3,046","3,368","3,438","3,697","3,469","3,561","3,566","3,300","2,662","2,559","2,705","2,801","2,874","2,730","2,771","2,884","2,879","2,875","3,144",""
,,,"Paper manufacturing  [322]","9,739","9,502","10,388","10,992","10,602","11,182","11,199","11,287","11,254","10,104","9,914","9,235","7,506","8,214","7,924","7,466","7,166","7,585","7,892","7,683","7,736","7,614","6,995",""
,,,"Pulp, paper and paperboard mills  [3221]","6,154","5,873","6,673","7,267","6,711","7,056","6,986","7,165","7,230","6,454","6,424","5,916","4,439","5,189","4,992","4,387","3,968","4,692","4,804","4,738","4,683","4,726","4,354",""
,,,"Converted paper product manufacturing  [3222]","3,555","3,707","3,639","3,519","3,891","4,133","4,234","4,136","4,037","3,662","3,507","3,328","3,061","3,020","2,926","3,079","3,198","2,879","3,078","2,933","3,040","2,877","2,630",""
,,,"Printing and related support activities  [323]","5,518","5,502","5,585","6,435","7,119","6,702","6,495","6,607","6,769","6,569","6,420","6,348","5,465","4,994","4,778","4,748","4,516","4,482","4,564","4,658","4,770","4,763","4,632",""
,,,"Petroleum and coal product manufacturing  [324]","8,114","9,179","10,906","10,950","12,318","12,423","12,935","13,206","12,804","12,340","12,576","12,144","12,727","11,960","11,338","11,396","11,330","11,588","11,543","11,455","12,129","11,742","11,327",""
,,,"Petroleum refineries  [32411]","","","","","","","","","","","10,992","10,494","10,839","10,185","9,516","9,774","9,862","10,169","10,149","10,011","10,473","10,142","9,700",""
,,,"Petroleum and coal products manufacturing (except petroleum refineries)  [3241A] 4","","","","","","","","","","","1,662","1,700","1,902","1,788","1,815","1,622","1,461","1,401","1,372","1,449","1,717","1,658","1,718",""
,,,"Chemical manufacturing  [325]","16,836","17,042","17,439","19,300","19,930","21,289","21,942","21,604","21,097","21,292","19,509","18,388","16,652","17,646","18,075","18,005","18,369","18,284","19,258","20,008","20,700","21,573","21,995",""
,,,"Basic chemical manufacturing  [3251]","4,995","4,923","4,806","5,217","5,139","5,180","5,216","4,779","5,137","5,319","4,925","4,729","3,981","4,854","5,140","4,955","5,292","4,662","5,191","5,199","5,260","5,841","5,730",""
,,,"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing  [3252]","","","","","","","","","","","2,446","2,292","1,598","1,924","2,397","2,238","2,584","2,313","2,454","2,580","2,371","2,675","2,711",""
,,,"Pesticide, fertilizer and other agricultural chemical manufacturing  [3253]","4,156","4,217","4,173","4,137","3,090","2,761","4,028","4,473","4,793","4,814","4,256","3,413","2,468","2,352","2,459","2,249","2,321","2,618","2,389","2,586","2,852","3,105","2,876",""
,,,"Pharmaceutical and medicine manufacturing  [3254]","2,862","2,890","3,197","3,903","4,924","5,862","6,102","5,678","5,516","5,926","4,897","4,761","5,023","4,879","4,385","4,691","4,321","5,003","5,301","5,567","5,839","5,600","6,147",""
,,,"Paint, coating and adhesive manufacturing  [3255]","","","","","","","","","","","1,150","1,103","992","965","899","1,063","1,019","1,029","1,090","1,065","1,215","1,124","1,016",""
,,,"Soap, cleaning compound and toilet preparation manufacturing  [3256]","1,593","1,497","1,539","1,445","1,565","1,417","1,495","1,443","1,072","1,108","1,060","993","992","941","995","1,062","1,038","1,073","1,243","1,466","1,677","1,666","1,635",""
,,,"Other chemical product manufacturing  [3259]","1,363","1,365","1,544","1,862","1,900","1,893","1,919","1,736","1,730","1,535","1,635","1,588","1,546","1,728","1,813","1,746","1,750","1,698","1,643","1,587","1,643","1,697","1,941",""
,,,"Plastics and rubber products manufacturing  [326]","7,631","7,920","8,466","9,725","9,695","10,512","10,502","10,611","10,820","10,088","9,918","9,171","7,519","8,178","8,689","8,925","9,188","9,491","9,877","9,942","9,932","10,856","10,935",""
,,,"Plastic product manufacturing  [3261]","5,590","5,908","6,445","7,756","7,756","8,483","8,520","8,587","8,897","8,469","8,358","7,705","6,227","6,719","7,072","7,315","7,632","7,822","8,199","8,305","8,243","9,003","9,115",""
,,,"Rubber product manufacturing  [3262]","1,875","1,867","1,900","1,908","1,883","1,982","1,944","1,982","1,898","1,607","1,549","1,458","1,292","1,460","1,616","1,610","1,556","1,668","1,677","1,633","1,687","1,849","1,815",""
,,,"Non-metallic mineral product manufacturing  [327]","4,693","5,088","5,067","5,620","5,847","6,027","6,385","6,623","6,942","6,983","7,084","6,835","5,787","5,940","6,065","6,214","6,107","6,231","6,162","6,212","6,601","6,862","7,101",""
,,,"Cement and concrete product manufacturing  [3273]","2,586","2,630","2,680","3,198","3,357","3,494","3,622","3,851","4,185","4,313","4,398","4,270","3,633","3,732","3,812","3,930","3,836","3,873","3,773","3,766","4,049","4,114","4,267",""
,,,"Non-metallic mineral product manufacturing (except cement and concrete products)  [327A] 4","2,056","2,358","2,301","2,380","2,453","2,502","2,715","2,736","2,740","2,665","2,682","2,564","2,153","2,208","2,253","2,285","2,270","2,358","2,389","2,447","2,555","2,748","2,834",""
,,,"Primary metal manufacturing  [331]","10,417","11,278","11,697","11,984","11,822","12,337","12,031","12,799","13,273","13,061","12,796","12,311","9,045","10,449","11,139","11,151","10,810","11,691","11,422","11,005","11,251","11,604","10,748",""
,,,"Iron and steel mills and ferro-alloy manufacturing  [3311]","2,920","3,164","3,107","3,294","2,699","3,230","2,991","2,910","3,048","3,026","3,125","2,744","1,573","2,165","2,375","2,560","2,418","2,520","2,363","2,373","2,457","2,516","2,181",""
,,,"Steel product manufacturing from purchased steel  [3312]","1,058","986","1,021","1,025","993","991","1,048","1,068","1,108","1,080","1,050","1,369","725","1,042","1,033","1,119","1,211","1,396","1,346","1,316","1,719","1,776","1,563",""
,,,"Alumina and aluminum production and processing  [3313]","1,597","1,829","1,909","2,348","2,425","2,607","2,545","2,920","3,191","3,303","3,499","3,503","3,066","3,012","3,106","2,982","2,805","3,154","3,054","3,208","3,128","3,176","3,097",""
,,,"Non-ferrous metal (except aluminum) production and processing  [3314]","3,957","4,481","5,016","4,259","5,029","4,503","4,078","4,676","4,676","4,286","3,776","3,485","2,941","3,359","3,629","3,557","3,454","3,682","3,777","3,200","2,932","3,195","2,949",""
,,,"Foundries  [3315]","1,337","1,371","1,372","1,395","1,315","1,356","1,547","1,571","1,498","1,503","1,387","1,184","765","842","982","933","927","932","928","896","1,040","981","991",""
,,,"Fabricated metal product manufacturing  [332]","11,489","12,129","12,719","15,850","15,335","15,772","15,295","15,037","15,476","15,790","15,876","14,538","12,392","12,933","14,004","15,052","15,461","15,416","14,846","14,049","14,737","15,845","16,608",""
,,,"Forging and stamping  [3321]","1,033","886","878","1,213","946","941","960","822","799","775","762","583","503","588","634","655","535","547","533","486","469","531","542",""
,,,"Architectural and structural metals manufacturing  [3323]","2,957","3,338","3,620","4,808","4,752","4,712","4,487","4,448","4,703","4,881","5,034","4,829","4,830","4,683","4,869","5,297","6,010","5,670","5,410","5,161","5,442","5,968","6,423",""
,,,"Boiler, tank and shipping container manufacturing  [3324]","1,355","1,436","1,311","1,617","1,701","1,672","1,724","1,700","1,675","1,648","1,627","1,795","1,411","1,341","1,520","1,584","1,575","1,546","1,395","1,278","1,379","1,468","1,572",""
,,,"Hardware manufacturing  [3325]","461","489","526","578","597","640","657","652","676","726","664","525","371","414","465","424","441","490","512","599","636","651","672",""
,,,"Spring and wire product manufacturing  [3326]","504","499","575","641","581","660","536","524","556","499","500","409","300","279","315","306","329","353","382","425","440","392","383",""
,,,"Machine shops, turned product, and screw, nut and bolt manufacturing  [3327]","1,966","2,170","2,274","2,930","2,796","2,870","2,859","2,793","2,860","3,059","3,026","2,706","2,166","2,415","2,791","3,146","3,076","3,139","3,050","2,674","2,703","3,065","3,118",""
,,,"Coating, engraving, heat treating and allied activities  [3328]","1,017","1,064","1,164","1,330","1,300","1,411","1,423","1,408","1,362","1,494","1,546","1,085","865","955","948","1,002","1,017","1,069","1,054","1,080","1,260","1,238","1,275",""
,,,"Cutlery, hand tools and other fabricated metal product manufacturing  [332A] 4","","","","","","","","","","","2,720","2,608","1,983","2,267","2,462","2,638","2,488","2,598","2,510","2,358","2,422","2,530","2,609",""
,,,"Machinery manufacturing  [333]","12,157","12,539","12,136","14,005","13,762","13,503","12,944","14,157","14,516","14,755","14,761","14,486","11,955","12,136","14,553","15,243","15,186","15,513","14,815","14,117","16,344","17,324","17,530",""
,,,"Agricultural, construction and mining machinery manufacturing  [3331]","","","","","","","","","","","3,737","3,889","2,998","3,016","4,325","4,681","4,581","4,500","3,453","2,977","3,600","3,876","3,597",""
,,,"Industrial machinery manufacturing  [3332]","","","","","","","","","","","1,721","1,588","1,079","1,172","1,363","1,447","1,493","1,514","1,591","1,690","1,935","1,930","2,207",""
,,,"Commercial and service industry machinery manufacturing  [3333]","","","","","","","","","","","1,524","1,792","1,667","1,724","1,930","1,971","1,999","2,062","1,985","2,201","2,458","2,546","2,698",""
