"CAGDP9 Real GDP by county and metropolitan area 1/"
"(Thousands of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"08001","Adams, CO*","64","      Management of companies and enterprises",147851,143663,139917,151291,159507,179131,192194,214670,229422
"08001","Adams, CO*","65","      Administrative and support and waste management and remediation services",614248,602426,618357,616318,669683,712374,727929,796552,848882
"08001","Adams, CO*","68","    Educational services, health care, and social assistance",1239405,1248858,1271696,1282432,1307324,1325872,1364879,1398484,"(D)"
"08001","Adams, CO*","69","      Educational services",174311,141718,125674,108985,112055,101136,92396,88350,"(D)"
"08001","Adams, CO*","70","      Health care and social assistance",1065936,1107267,1146022,1173613,1195412,1225373,1273629,1311596,1351837
"08001","Adams, CO*","75","    Arts, entertainment, recreation, accommodation, and food services",442439,460165,479279,528746,"(D)","(D)",605576,640832,674688
"08001","Adams, CO*","76","      Arts, entertainment, and recreation",52922,55746,52868,73134,"(D)","(D)",91676,99198,107607
"08001","Adams, CO*","79","      Accommodation and food services",389497,404396,426411,455725,480638,505582,514231,542090,567751
"08001","Adams, CO*","82","    Other services (except government and government enterprises)",371702,384132,432038,505312,526033,546883,549465,559913,586747
"08001","Adams, CO*","83","Government and government enterprises",3029909,2964379,2948258,3014700,3126786,3307495,3481569,3638308,3857812
"08001","Adams, CO*","","Addenda:","","","","","","","","",""
"08001","Adams, CO*","87","Natural resources and mining",182294,207343,180120,209253,"(D)","(D)",200059,208412,"(D)"
"08001","Adams, CO*","88","Trade",3044250,3133776,3235907,3269155,3333285,3504958,3600498,3735734,3790860
"08001","Adams, CO*","89","Transportation and utilities",1383596,1382452,1356960,1399712,"(D)","(D)",1670176,1772475,"(D)"
"08001","Adams, CO*","90","Manufacturing and information",3185146,2994222,2918795,3031612,3639883,3462658,3325188,3481401,3661604
"08001","Adams, CO*","91","Private goods-producing industries 2/",3750881,3680802,3677888,3934648,"(D)","(D)",5233410,5315956,"(D)"
"08001","Adams, CO*","92","Private services-providing industries 3/",11507712,11734519,11956889,12138012,"(D)","(D)",13308021,13998385,"(D)"
"08003","Alamosa, CO","1","All industry total",614762,637660,614267,600333,600714,662337,659375,654314,671553
"08003","Alamosa, CO","2","  Private industries",484855,509562,486605,475677,476782,536262,533936,527438,547505
"08003","Alamosa, CO","3","    Agriculture, forestry, fishing and hunting",23532,53219,26071,18790,20245,63835,42902,7817,14023
"08003","Alamosa, CO","6","    Mining, quarrying, and oil and gas extraction",9234,6156,4235,6153,4537,4473,3920,6621,5572
"08003","Alamosa, CO","10","    Utilities",8679,16348,21307,20165,20161,20638,27104,23048,"(D)"
"08003","Alamosa, CO","11","    Construction",33556,29506,25143,24710,22789,24499,22883,25935,26098
"08003","Alamosa, CO","12","    Manufacturing",8916,10176,9398,9461,9749,9901,9352,9825,10053
"08003","Alamosa, CO","13","      Durable goods manufacturing",4871,5833,5814,5899,6001,6132,5855,5890,5933
"08003","Alamosa, CO","25","      Nondurable goods manufacturing",4060,4348,3584,3562,3749,3769,3496,3939,4126
"08003","Alamosa, CO","34","    Wholesale trade",19719,18552,18491,18198,18445,20717,20401,20535,"(D)"
"08003","Alamosa, CO","35","    Retail trade",57654,57383,58586,58946,59601,62228,65867,68506,70604
"08003","Alamosa, CO","36","    Transportation and warehousing",13962,16191,19822,19012,17324,18336,18126,22319,23114
"08003","Alamosa, CO","45","    Information",16536,14106,13114,14362,14672,14155,14556,15576,15632
"08003","Alamosa, CO","50","    Finance, insurance, real estate, rental, and leasing",131980,134542,133423,128543,128383,133334,138079,136902,144613
"08003","Alamosa, CO","51","      Finance and insurance",28474,31915,33024,31976,33580,34624,35240,29962,33759
"08003","Alamosa, CO","56","      Real estate and rental and leasing",103419,102610,100399,96566,94740,98658,102826,107352,111052
"08003","Alamosa, CO","59","    Professional and business services",34816,35766,36950,36009,38638,38339,36870,39925,40222
"08003","Alamosa, CO","60","      Professional, scientific, and technical services",14920,14436,14299,13421,14890,14471,13468,13501,13581
"08003","Alamosa, CO","64","      Management of companies and enterprises",17464,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"08003","Alamosa, CO","65","      Administrative and support and waste management and remediation services",2448,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"08003","Alamosa, CO","68","    Educational services, health care, and social assistance",84313,79368,81416,83225,82784,90786,91991,96809,102108
"08003","Alamosa, CO","69","      Educational services","(D)","(D)","(D)","(D)","(D)","(D)",1481,1209,999
"08003","Alamosa, CO","70","      Health care and social assistance","(D)","(D)","(D)","(D)","(D)","(D)",90488,95592,101112
"08003","Alamosa, CO","75","    Arts, entertainment, recreation, accommodation, and food services",25344,25146,25772,25641,26907,28498,28467,29263,30136
"08003","Alamosa, CO","76","      Arts, entertainment, and recreation",2177,2047,2010,2305,3103,3596,3722,3266,3246
"08003","Alamosa, CO","79","      Accommodation and food services",23167,23099,23762,23338,23819,24926,24773,25999,26885
"08003","Alamosa, CO","82","    Other services (except government and government enterprises)",13921,13287,12875,12638,12728,12805,13271,13101,13697
"08003","Alamosa, CO","83","Government and government enterprises",129827,128104,127662,124656,123949,126444,125810,127127,124626
"08003","Alamosa, CO","","Addenda:","","","","","","","","",""
"08003","Alamosa, CO","87","Natural resources and mining",33599,59324,30306,24783,24790,68815,47222,15369,20139
"08003","Alamosa, CO","88","Trade",77370,75935,77077,77143,78045,82944,86269,89034,"(D)"
"08003","Alamosa, CO","89","Transportation and utilities",22330,32518,41129,39178,37500,38982,45155,45490,"(D)"
"08003","Alamosa, CO","90","Manufacturing and information",25547,24282,22512,23818,24418,24085,23849,25313,25625
"08003","Alamosa, CO","91","Private goods-producing industries 2/",77498,99070,64847,58981,57277,97641,77690,57510,61715
"08003","Alamosa, CO","92","Private services-providing industries 3/",406350,410588,421758,416702,419500,439714,454817,465752,481726
"08005","Arapahoe, CO","1","All industry total",32351649,33490827,34093393,36272073,38302465,39956471,41013746,42654549,44037874
"08005","Arapahoe, CO","2","  Private industries",29528133,30697120,31257853,33480098,35490647,37020719,38066513,39707290,41041575
"08005","Arapahoe, CO","3","    Agriculture, forestry, fishing and hunting",9315,19840,10906,10729,5301,12426,5183,9327,9749
"08005","Arapahoe, CO","6","    Mining, quarrying, and oil and gas extraction",426152,487764,466180,303066,373877,391328,282027,275788,286178
"08005","Arapahoe, CO","10","    Utilities",27740,29603,26083,23035,25476,29268,26075,25958,27685
"08005","Arapahoe, CO","11","    Construction",1065680,1035335,1199010,1533639,1704400,1762721,1891706,2082528,2135747
"08005","Arapahoe, CO","12","    Manufacturing",973245,980758,954047,973716,991361,1096114,1078281,1011550,1115867
"08005","Arapahoe, CO","13","      Durable goods manufacturing",614157,623139,618244,665344,665371,740993,731333,677807,760794
"08005","Arapahoe, CO","25","      Nondurable goods manufacturing",359234,357831,335803,308277,325911,355098,346975,333559,355194
"08005","Arapahoe, CO","34","    Wholesale trade",2656740,2718766,2760615,2805036,2986740,3171042,3227980,3320576,3332021
"08005","Arapahoe, CO","35","    Retail trade",2134390,2072690,2138353,2187208,2275555,2375110,2438570,2558770,2515451
"08005","Arapahoe, CO","36","    Transportation and warehousing",349699,266295,248637,316035,387080,439805,544240,697808,806269
"08005","Arapahoe, CO","45","    Information",4733404,4733620,4388606,4580347,4867765,4580671,4715385,4859692,5094738
"08005","Arapahoe, CO","50","    Finance, insurance, real estate, rental, and leasing",6381263,7297028,7826057,8886517,9262474,9618466,9741577,10461907,10582062
"08005","Arapahoe, CO","51","      Finance and insurance",3951990,3961332,4346139,4003059,4149047,4259796,4172357,4710773,4615858
"08005","Arapahoe, CO","56","      Real estate and rental and leasing",2452502,3333181,3479918,4879628,5109752,5356082,5576263,5740377,5971590
"08005","Arapahoe, CO","59","    Professional and business services",6135607,6308370,6387516,6658135,7021010,7435773,7657960,8030114,8522712
"08005","Arapahoe, CO","60","      Professional, scientific, and technical services",3857352,3965357,3951054,3993317,4255568,4608887,4941942,5026608,5360808
"08005","Arapahoe, CO","64","      Management of companies and enterprises",975077,974462,996975,1156473,1185486,1181870,1105742,1278468,1346931
"08005","Arapahoe, CO","65","      Administrative and support and waste management and remediation services",1303097,1368462,1439487,1508383,1579728,1643995,1611060,1727037,1817783
"08005","Arapahoe, CO","68","    Educational services, health care, and social assistance",2783865,2816576,2843653,3013055,3161067,3392049,3557151,3476340,3669684
"08005","Arapahoe, CO","69","      Educational services",328907,325000,314414,302868,308192,317818,317837,299236,296024
"08005","Arapahoe, CO","70","      Health care and social assistance",2455263,2491692,2529239,2710532,2853549,3075611,3241725,3180295,3378785
"08005","Arapahoe, CO","75","    Arts, entertainment, recreation, accommodation, and food services",1071801,1147476,1213741,1364226,1549321,1792568,1932302,1884291,1920399
"08005","Arapahoe, CO","76","      Arts, entertainment, and recreation",341791,383646,434720,527245,697639,875576,1020186,925564,939610
"08005","Arapahoe, CO","79","      Accommodation and food services",730495,764073,779021,837267,853673,920811,918618,962165,984100
"08005","Arapahoe, CO","82","    Other services (except government and government enterprises)",753378,772048,794449,819466,869787,877765,870468,863842,900090
"08005","Arapahoe, CO","83","Government and government enterprises",2823251,2793687,2835541,2794362,2818023,2942098,2956673,2962197,3014006
"08005","Arapahoe, CO","","Addenda:","","","","","","","","",""
"08005","Arapahoe, CO","87","Natural resources and mining",436186,507462,477086,313874,378865,404837,286743,285895,296742
"08005","Arapahoe, CO","88","Trade",4791362,4791472,4898968,4992220,5262440,5546310,5666720,5879163,5848216
"08005","Arapahoe, CO","89","Transportation and utilities",376415,295963,274720,339061,412485,469003,570361,724123,834441
"08005","Arapahoe, CO","90","Manufacturing and information",5707654,5714998,5342653,5553958,5858078,5685588,5797722,5862568,6210075
"08005","Arapahoe, CO","91","Private goods-producing industries 2/",2476050,2524366,2630142,2826171,3079995,3269895,3317090,3461456,3626868
"08005","Arapahoe, CO","92","Private services-providing industries 3/",27052471,28172858,28627710,30653887,32408783,33746785,34746185,36242393,37408471
"08007","Archuleta, CO","1","All industry total",403415,399376,419589,424356,440306,464385,481176,479089,482935
"08007","Archuleta, CO","2","  Private industries",357584,354522,374965,378929,392122,412610,425180,421829,422249
"08007","Archuleta, CO","3","    Agriculture, forestry, fishing and hunting",961,541,5783,13465,12235,19716,29790,"(D)",3421
"08007","Archuleta, CO","6","    Mining, quarrying, and oil and gas extraction",31419,26232,28993,38590,45159,43857,52805,47887,45300
"08007","Archuleta, CO","10","    Utilities",2714,2605,"(D)",2734,2820,2941,3423,"(D)",2764
"08007","Archuleta, CO","11","    Construction",33601,36191,36299,35921,38017,38312,38651,37727,39766
"08007","Archuleta, CO","12","    Manufacturing",4097,4596,5338,5633,5425,5819,7157,7147,6900
"08007","Archuleta, CO","13","      Durable goods manufacturing",2091,2091,2219,2375,1795,1916,2071,2185,2360
"08007","Archuleta, CO","25","      Nondurable goods manufacturing",1996,2501,3119,3258,3626,3898,5075,4954,4533
"08007","Archuleta, CO","34","    Wholesale trade",12458,10231,11305,7685,8800,7387,6940,"(D)",9199
"08007","Archuleta, CO","35","    Retail trade",35153,33225,32344,33125,34391,40411,42960,45768,44625
"08007","Archuleta, CO","36","    Transportation and warehousing",1986,2104,1423,1280,1570,2348,3440,3264,2607
"08007","Archuleta, CO","45","    Information",14227,"(D)","(D)",15221,15063,15860,13920,13178,12712
"08007","Archuleta, CO","50","    Finance, insurance, real estate, rental, and leasing",127715,129860,137514,126665,125042,128520,127747,127938,128263
"08007","Archuleta, CO","51","      Finance and insurance",12248,12773,13578,13008,12206,11931,12618,9200,8424
"08007","Archuleta, CO","56","      Real estate and rental and leasing",115453,117085,123936,113647,112869,116682,115131,119286,120555
"08007","Archuleta, CO","59","    Professional and business services",40188,43698,46292,42672,43360,41389,40462,44879,47773
"08007","Archuleta, CO","60","      Professional, scientific, and technical services",19913,21729,21812,19753,21700,20225,18963,19882,22435
"08007","Archuleta, CO","64","      Management of companies and enterprises",12777,14303,16254,14794,14196,14026,14051,15706,15009
"08007","Archuleta, CO","65","      Administrative and support and waste management and remediation services",7500,7668,8226,8125,7456,7145,7447,9237,10140
"08007","Archuleta, CO","68","    Educational services, health care, and social assistance",11205,11144,12401,13095,15266,17773,17674,17795,20080
"08007","Archuleta, CO","69","      Educational services","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1615,1595
"08007","Archuleta, CO","70","      Health care and social assistance","(D)","(D)","(D)","(D)","(D)","(D)","(D)",16160,18477
"08007","Archuleta, CO","75","    Arts, entertainment, recreation, accommodation, and food services",24890,25215,25130,27283,28696,31492,30115,31860,33424
"08007","Archuleta, CO","76","      Arts, entertainment, and recreation",2698,2963,3004,3550,4230,4553,4252,3993,3991
"08007","Archuleta, CO","79","      Accommodation and food services",22192,22252,22126,23735,24478,26948,25870,27851,29405
"08007","Archuleta, CO","82","    Other services (except government and government enterprises)",16531,"(D)",15722,15314,15831,16479,17355,18270,18933
"08007","Archuleta, CO","83","Government and government enterprises",45852,44870,44623,45425,48162,51692,55677,56803,59975
"08007","Archuleta, CO","","Addenda:","","","","","","","","",""
"08007","Archuleta, CO","87","Natural resources and mining",32774,27128,34776,51961,57464,65237,87271,"(D)",46298
"08007","Archuleta, CO","88","Trade",47606,43455,43650,40802,43186,47792,49895,"(D)",53845
"08007","Archuleta, CO","89","Transportation and utilities",4695,4694,"(D)",4014,4386,5277,6861,"(D)",5365
"08007","Archuleta, CO","90","Manufacturing and information",18366,"(D)","(D)",20853,20484,21681,21356,20649,19925
"08007","Archuleta, CO","91","Private goods-producing industries 2/",70685,67618,76413,93645,101023,107942,124509,"(D)",98937
"08007","Archuleta, CO","92","Private services-providing industries 3/",286952,287072,298552,285064,290802,304615,304290,"(D)",320446
"08009","Baca, CO","1","All industry total",227075,212165,145896,175999,133594,118407,121877,127452,137473
"08009","Baca, CO","2","  Private industries",193967,179883,115667,146594,103476,87097,90066,95783,105867
"08009","Baca, CO","3","    Agriculture, forestry, fishing and hunting",105560,92375,23607,59418,18780,4771,9526,7558,17179
"08009","Baca, CO","6","    Mining, quarrying, and oil and gas extraction",5591,4349,5793,4743,4390,3065,2487,3187,2542
"08009","Baca, CO","10","    Utilities",770,816,798,875,919,1018,1158,1321,1548
"08009","Baca, CO","11","    Construction","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2369,2153
"08009","Baca, CO","12","    Manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)",335,363
