"Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)" 1 2
"Annual"
"Table: 36-10-0434-06 (formerly CANSIM 379-0031)"
"Geography: Canada"

"Seasonal adjustment","Prices","Geography","North American Industry Classification System (NAICS)","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Seasonally adjusted at annual rates","Chained (2012) dollars 3","Canada","","Dollars",,,,,,,,,,,,,,,,,,,,,,,
,,,"Support activities for agriculture and forestry  [115]","2,005","2,166","2,259","2,305","2,272","2,269","2,276","2,269","2,306","2,297","2,351","2,193","2,276","2,314","2,385","2,323","2,470","2,469","2,497","2,515","2,587","2,546","2,626",""
,,,"Wholesale trade  [41]","50,738","54,639","57,875","61,788","63,064","65,455","68,388","70,811","75,355","79,063","82,652","81,913","76,333","82,073","88,224","91,307","95,163","97,598","94,411","94,253","98,959","99,758","101,320",""
,,,"Retail trade  [44-45]","50,748","54,220","56,325","60,035","62,968","66,934","69,068","71,400","73,890","78,365","81,372","84,024","81,974","84,347","85,126","85,541","90,309","91,276","91,158","94,633","100,170","101,458","102,250",""
,,,"Motor vehicle and parts dealers  [441]","","","","","","","","","","","11,910","12,450","11,572","11,797","12,277","12,841","13,545","14,013","14,336","15,430","16,697","16,571","16,545",""
,,,"Furniture and home furnishings stores  [442]","","","","","","","","","","","3,845","3,882","3,535","3,799","3,695","3,446","3,698","3,766","3,686","3,996","4,204","4,270","4,342",""
,,,"Electronics and appliance stores  [443]","","","","","","","","","","","2,609","2,885","2,835","3,114","3,606","3,278","3,475","3,425","3,482","3,438","4,068","4,226","3,790",""
,,,"Building material and garden equipment and supplies dealers  [444]","","","","","","","","","","","7,035","7,268","6,729","6,781","6,555","6,482","6,734","7,105","6,915","7,223","7,841","7,874","7,926",""
,,,"Food and beverage stores  [445]","","","","","","","","","","","17,660","18,194","18,039","18,017","17,820","17,950","18,320","17,820","17,033","18,069","18,798","19,016","19,201",""
,,,"Health and personal care stores  [446]","","","","","","","","","","","7,583","8,290","8,196","8,400","8,569","8,914","9,644","9,855","10,220","10,508","11,003","11,261","11,305",""
,,,"Gasoline stations  [447]","","","","","","","","","","","4,829","4,969","4,853","5,066","5,171","5,677","6,257","6,202","5,973","5,996","6,215","6,129","6,037",""
,,,"Clothing and clothing accessories stores  [448]","","","","","","","","","","","7,179","7,250","7,360","7,818","7,790","7,898","8,305","8,433","8,744","8,790","9,303","9,598","9,698",""
,,,"Sporting goods, hobby, book and music stores  [451]","","","","","","","","","","","2,564","2,593","2,606","2,641","2,448","2,449","2,579","2,656","2,810","2,882","3,031","3,012","2,940",""
,,,"General merchandise stores  [452]","","","","","","","","","","","9,823","9,952","9,945","10,306","10,423","9,750","10,067","10,156","9,794","9,698","10,179","10,315","10,633",""
,,,"Miscellaneous store retailers  [453]","","","","","","","","","","","4,408","4,359","4,450","4,642","4,563","4,629","5,045","5,025","5,187","5,392","5,421","5,596","5,570",""
,,,"Miscellaneous store retailers (except cannabis)  [453A]","","","","","","","","","","","3,342","3,250","3,288","3,432","3,302","3,302","3,645","3,555","3,643","3,835","3,892","4,019","4,127",""
,,,"Cannabis stores  [453B]","769","810","849","882","918","944","963","982","1,008","1,041","1,082","1,113","1,162","1,210","1,261","1,328","1,400","1,470","1,546","1,551","1,516","1,563","1,399",""
,,,"Cannabis stores (licensed)  [453BL]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","105",""
,,,"Cannabis stores (unlicensed)  [453BU]","769","810","849","882","918","944","963","982","1,008","1,041","1,082","1,113","1,162","1,210","1,261","1,328","1,400","1,470","1,546","1,551","1,516","1,549","1,294",""
,,,"Non-store retailers  [454]","","","","","","","","","","","1,945","1,922","1,857","1,952","2,203","2,227","2,640","2,821","3,022","3,247","3,471","3,698","4,389",""
,,,"Retail trade (except unlicensed cannabis)  [4AZ] 4","49,937","53,370","55,430","59,115","62,014","65,971","68,090","70,409","72,878","77,331","80,298","82,919","80,813","83,137","83,865","84,213","88,909","89,806","89,619","93,062","98,614","99,868","100,869",""

Symbol legend:
...,not applicable,

Footnotes:
1,Aggregates are not always equal to the sum of their components.
2,"At the lowest level of detail, it may not be possible to produce a homogeneous series from 1997 to the present. Only industries and certain aggregates that provide good continuity back to 1997 have data from 1997 to 2006."
3,"Effective November 30, 2018 the data is presented on a 2012 reference year basis."
4,"The alphanumeric code appearing in square brackets beside the industry title represents the identification code of an aggregation of NAICS industries, whose definition is included in the full classification provided in the definitions, data sources and methods for the statistical program 1301 - Gross domestic product by Industry - National (Monthly)."

"How to cite: Statistics Canada. Table 36-10-0434-06 Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043406
DOI: https://doi.org/10.25318/3610043401-eng
