ArrestYear ,County ,Agency,AgeGroup ,Gender ,RaceCode ,NCICCODE ,NumberOfArrests
2012,Adams,Commerce City PD,21 or older,Female,Hispianic,MJPossession,6
2012,Adams,Commerce City PD,21 or older,Male,African American,MJPossession,5
2012,Adams,Commerce City PD,21 or older,Male,Asian,MJPossession,1
2012,Adams,Commerce City PD,21 or older,Male,Unknown,MJPossession,1
2012,Adams,Commerce City PD,21 or older,Male,White,MJPossession,33
2012,Adams,Commerce City PD,Under 18,Male,African American,MJPossession,4
2012,Adams,Commerce City PD,Under 18,Male,Unknown,MJPossession,2
2012,Adams,Commerce City PD,21 or older,Male,Hispianic,MJSales,1
2012,Adams,Federal Heights PD,18 to 20,Female,White,MJPossession,3
2012,Adams,Federal Heights PD,21 or older,Male,Hispianic,MJPossession,17
2012,Adams,Federal Heights PD,21 or older,Male,Unknown,MJPossession,2
2012,Adams,Northglenn PD,18 to 20,Male,African American,MJPossession,3
2012,Adams,Northglenn PD,18 to 20,Male,Hispianic,MJPossession,8
2012,Adams,Northglenn PD,18 to 20,Male,White,MJPossession,30
2012,Adams,Northglenn PD,Under 18,Female,Hispianic,MJPossession,7
2012,Adams,Northglenn PD,Under 18,Male,Asian,MJPossession,1
2012,Adams,Northglenn PD,21 or older,Male,White,MJProduction,2
2012,Adams,Thornton PD,18 to 20,Female,Hispianic,MJPossession,5
2012,Adams,Thornton PD,18 to 20,Male,African American,MJPossession,3
2012,Adams,Thornton PD,18 to 20,Male,Hispianic,MJPossession,46
2012,Adams,Thornton PD,Under 18,Female,African American,MJPossession,2
2012,Adams,Thornton PD,Under 18,Female,White,MJPossession,10
2012,Adams,Thornton PD,Under 18,Male,African American,MJPossession,6
2012,Adams,Thornton PD,Under 18,Male,White,MJPossession,59
2012,Adams,Thornton PD,Under 18,Male,White,MJSales,1
2012,Adams,Westminster PD,21 or older,Female,African American,MJPossession,2
2012,Adams,Westminster PD,21 or older,Female,Hispianic,MJPossession,8
2012,Adams,Westminster PD,21 or older,Female,White,MJPossession,23
2012,Adams,Westminster PD,21 or older,Male,African American,MJPossession,10
2012,Adams,Westminster PD,21 or older,Male,Asian,MJPossession,2
2012,Adams,Westminster PD,21 or older,Male,Hispianic,MJPossession,39
2012,Adams,Westminster PD,21 or older,Male,Unknown,MJPossession,1
2012,Adams,Westminster PD,21 or older,Male,White,MJPossession,109
2012,Adams,Westminster PD,18 to 20,Female,Hispianic,MJUnknown,1
2012,Adams,Westminster PD,18 to 20,Female,White,MJUnknown,1
2012,Adams,Westminster PD,18 to 20,Male,African American,MJUnknown,1
2012,Adams,Westminster PD,18 to 20,Male,Hispianic,MJUnknown,4
2012,Adams,Westminster PD,18 to 20,Male,White,MJUnknown,2
2012,Adams,Westminster PD,Under 18,Male,Asian,MJUnknown,1
2012,Adams,Westminster PD,Under 18,Male,Native American,MJUnknown,1
2012,Alamosa,Alamosa County SO,21 or older,Female,Hispianic,MJPossession,1
2012,Arapahoe,Arapahoe Community College,21 or older,Male,White,MJPossession,1
2012,Arapahoe,Araphaoe County SO,21 or older,Female,African American,MJPossession,2
2012,Arapahoe,Araphaoe County SO,21 or older,Female,White,MJPossession,3
2012,Arapahoe,Araphaoe County SO,21 or older,Male,Asian,MJPossession,1
2012,Arapahoe,Araphaoe County SO,21 or older,Male,White,MJPossession,12
2012,Arapahoe,Araphaoe County SO,Under 18,Male,African American,MJPossession,7
2012,Arapahoe,Araphaoe County SO,Under 18,Male,Hispianic,MJPossession,2
2012,Arapahoe,Araphaoe County SO,Under 18,Male,Unknown,MJPossession,1
2012,Arapahoe,Aurora PD,21 or older,Female,African American,MJPossession,26
2012,Arapahoe,Aurora PD,21 or older,Female,Hispianic,MJPossession,9
2012,Arapahoe,Aurora PD,21 or older,Male,Hispianic,MJPossession,39
2012,#NULL,Colorado State Patrol,18 to 20,Male,African American,MJPossession,4
2012,#NULL,Colorado State Patrol,18 to 20,Male,Hispianic,MJPossession,26
2012,#NULL,Colorado State Patrol,18 to 20,Male,White,MJPossession,171
2012,#NULL,Colorado State Patrol,21 or older,Female,Hispianic,MJPossession,9
2012,#NULL,Colorado State Patrol,21 or older,Male,Native American,MJPossession,3
2012,#NULL,Colorado State Patrol,21 or older,Female,White,MJProduction,1
2012,#NULL,Colorado State Patrol,18 to 20,Female,Asian,MJSales,1
2012,#NULL,Colorado State Patrol,21 or older,Female,White,MJSales,2
2012,#NULL,Colorado State Patrol,21 or older,Male,Hispianic,MJSales,1
2012,#NULL,Colorado State Patrol,18 to 20,Female,Hispianic,MJUnknown,1
2012,#NULL,Colorado State Patrol,21 or older,Male,African American,MJUnknown,8
2012,#NULL,Colorado State Patrol,21 or older,Male,Hispianic,MJUnknown,8
2012,#NULL,Colorado State Patrol,21 or older,Male,White,MJUnknown,54
2012,#NULL,Colorado State Patrol,Under 18,Female,White,MJUnknown,1
2012,#NULL,Colorado State Patrol,Under 18,Male,Hispianic,MJUnknown,1
2012,Adams,Adams County SO,18 to 20,Male,Native American,MJPossession,2
2012,Adams,Adams County SO,21 or older,Male,African American,MJPossession,18
2012,Adams,Adams County SO,21 or older,Male,Asian,MJPossession,1
2012,Adams,Adams County SO,21 or older,Male,White,MJPossession,200
2012,Adams,Adams County SO,18 to 20,Female,Hispianic,MJSales,1
2012,Adams,Brighton PD,18 to 20,Female,Unknown,MJPossession,1
2012,Adams,Brighton PD,18 to 20,Female,White,MJPossession,3
2012,Adams,Brighton PD,18 to 20,Male,African American,MJPossession,1
2012,Adams,Brighton PD,18 to 20,Male,Hispianic,MJPossession,13
2012,Adams,Brighton PD,Under 18,Male,African American,MJPossession,1
2012,Adams,Brighton PD,Under 18,Male,White,MJPossession,16
2012,Adams,Brighton PD,18 to 20,Male,White,MJSales,1
2012,Adams,Brighton PD,Under 18,Female,Hispianic,MJUnknown,5
2012,Adams,Brighton PD,Under 18,Female,White,MJUnknown,2
2012,Adams,Commerce City PD,21 or older,Female,White,MJPossession,8
2012,Adams,Commerce City PD,21 or older,Male,Hispianic,MJPossession,23
2012,Adams,Commerce City PD,Under 18,Female,Hispianic,MJPossession,8
2012,Adams,Commerce City PD,21 or older,Female,White,MJProduction,1
2012,Adams,Commerce City PD,21 or older,Male,White,MJSales,3
2012,Adams,Federal Heights PD,18 to 20,Female,Hispianic,MJPossession,1
2012,Adams,Federal Heights PD,18 to 20,Male,Native American,MJPossession,1
2012,Adams,Federal Heights PD,21 or older,Male,White,MJPossession,17
2012,Adams,Federal Heights PD,Under 18,Female,White,MJPossession,2
2012,Adams,Federal Heights PD,Under 18,Male,Hispianic,MJPossession,7
2012,Adams,Northglenn PD,18 to 20,Female,African American,MJPossession,1
2012,Adams,Northglenn PD,18 to 20,Female,Hispianic,MJPossession,1
2012,Adams,Northglenn PD,18 to 20,Female,White,MJPossession,9
2012,Arapahoe,Greenwood Village PD,18 to 20,Male,African American,MJPossession,3
2012,Arapahoe,Greenwood Village PD,21 or older,Female,White,MJPossession,11
2012,Arapahoe,Greenwood Village PD,Under 18,Female,African American,MJPossession,1
2012,Arapahoe,Greenwood Village PD,Under 18,Female,Hispianic,MJPossession,1
2012,Arapahoe,Greenwood Village PD,Under 18,Female,White,MJPossession,4
2012,Arapahoe,Greenwood Village PD,Under 18,Male,African American,MJPossession,2
2012,Arapahoe,Greenwood Village PD,Under 18,Male,Hispianic,MJPossession,1
2012,Arapahoe,Greenwood Village PD,Under 18,Male,White,MJPossession,20
2012,Arapahoe,Greenwood Village PD,21 or older,Male,White,MJUnknown,1
2012,Arapahoe,Littleton PD,18 to 20,Male,African American,MJPossession,1
2012,Arapahoe,Littleton PD,21 or older,Female,White,MJPossession,10
2012,Arapahoe,Littleton PD,Under 18,Female,African American,MJPossession,1
2012,Arapahoe,Littleton PD,Under 18,Female,Hispianic,MJPossession,3
2012,Arapahoe,Littleton PD,Under 18,Female,White,MJPossession,13
2012,Arapahoe,Littleton PD,Under 18,Male,Hispianic,MJPossession,8
2012,Arapahoe,Littleton PD,Under 18,Male,White,MJPossession,38
2012,Arapahoe,Sheridan PD,18 to 20,Male,Hispianic,MJPossession,4
2012,Arapahoe,Sheridan PD,18 to 20,Male,White,MJPossession,6
2012,Arapahoe,Sheridan PD,Under 18,Female,White,MJPossession,1
2012,Archuleta,Pagosa Springs PD,21 or older,Female,White,MJPossession,1
2012,Archuleta,Pagosa Springs PD,21 or older,Male,White,MJPossession,2
2012,Baca,Campo PD,21 or older,Male,African American,MJPossession,1
2012,Baca,Campo PD,21 or older,Male,Hispianic,MJPossession,2
2012,Basalt PD,Basalt PD,Under 18,Male,Hispianic,MJPossession,1
2012,Basalt PD,Basalt PD,Under 18,Male,White,MJPossession,6
2012,Boulder,Boulder PD,18 to 20,Female,White,MJPossession,2
2012,Boulder,Boulder PD,21 or older,Male,African American,MJPossession,3
2012,Boulder,Boulder PD,21 or older,Male,Hispianic,MJPossession,3
2012,Boulder,Boulder PD,18 to 20,Male,African American,MJUnknown,1
2012,Boulder,Boulder PD,Under 18,Female,White,MJUnknown,2
2012,Boulder,Boulder PD,Under 18,Male,White,MJUnknown,3
2012,Boulder,Lafayette PD,21 or older,Male,African American,MJPossession,1
2012,Boulder,Lafayette PD,21 or older,Male,Hispianic,MJPossession,11
2012,Boulder,Lafayette PD,18 to 20,Male,Hispianic,MJUnknown,2
2012,Boulder,Lafayette PD,Under 18,Male,White,MJUnknown,2
2012,Boulder,Longmont PD,21 or older,Female,White,MJPossession,5
2012,Boulder,Longmont PD,21 or older,Male,White,MJPossession,14
2012,Boulder,Longmont PD,Under 18,Male,Hispianic,MJPossession,16
2012,Boulder,Longmont PD,21 or older,Male,White,MJSales,1
2012,Boulder,University of Colorado Boulder,18 to 20,Female,Hispianic,MJPossession,1
2012,Boulder,University of Colorado Boulder,18 to 20,Male,White,MJPossession,252
2012,Boulder,University of Colorado Boulder,Under 18,Female,Asian,MJPossession,1
2012,Boulder,University of Colorado Boulder,Under 18,Female,White,MJPossession,4
2012,Broomfield,BROOMFIELD POLICE DEPARTMENT,21 or older,Female,Hispianic,MJPossession,1
2012,Broomfield,BROOMFIELD POLICE DEPARTMENT,21 or older,Male,Asian,MJPossession,1
2012,Broomfield,BROOMFIELD POLICE DEPARTMENT,21 or older,Male,White,MJPossession,75
2012,Broomfield,BROOMFIELD POLICE DEPARTMENT,21 or older,Male,Hispianic,MJSales,1
2012,Broomfield,BROOMFIELD POLICE DEPARTMENT,18 to 20,Male,White,MJUnknown,1
2012,Chaffee,Chaffee County SO,21 or older,Male,White,MJPossession,8
2012,Chaffee,Salida PD,21 or older,Female,White,MJPossession,1
2012,Clear Creek,Clear Creek County SO,21 or older,Female,White,MJPossession,3
2012,Clear Creek,Clear Creek County SO,Under 18,Female,Hispianic,MJPossession,1
2012,Clear Creek,Clear Creek County SO,Under 18,Male,Hispianic,MJPossession,1
2012,Clear Creek,Clear Creek County SO,21 or older,Male,White,MJUnknown,1
2012,Clear Creek,Idaho Springs PD,18 to 20,Male,White,MJPossession,1
2012,Clear Creek,Idaho Springs PD,21 or older,Male,White,MJUnknown,1
2012,Conejos,SO CONEJOS COUNTY,18 to 20,Male,Hispianic,MJPossession,1
2012,Delta,Delta PD,21 or older,Male,Hispianic,MJPossession,1
2012,Denver,AURARIA DEPARTMENT OF PUBLIC SAFETY,18 to 20,Male,Hispianic,MJPossession,1
2012,Arapahoe,Araphaoe County SO,18 to 20,Female,White,MJPossession,2
2012,Arapahoe,Araphaoe County SO,18 to 20,Male,African American,MJPossession,2
2012,Arapahoe,Araphaoe County SO,18 to 20,Male,Hispianic,MJPossession,1
2012,Arapahoe,Araphaoe County SO,18 to 20,Male,White,MJPossession,11
2012,Arapahoe,Araphaoe County SO,21 or older,Female,Hispianic,MJPossession,1
2012,Arapahoe,Araphaoe County SO,Under 18,Male,White,MJPossession,19
2012,Arapahoe,Aurora PD,18 to 20,Female,Hispianic,MJPossession,3
2012,Arapahoe,Aurora PD,18 to 20,Female,White,MJPossession,8
2012,Arapahoe,Aurora PD,18 to 20,Male,Hispianic,MJPossession,30
2012,Arapahoe,Aurora PD,21 or older,Male,Native American,MJPossession,2
2012,Arapahoe,Aurora PD,Under 18,Male,African American,MJPossession,52
2012,Arapahoe,Aurora PD,Under 18,Male,Hispianic,MJPossession,59
2012,Arapahoe,Aurora PD,Under 18,Male,White,MJPossession,49
2012,Arapahoe,Aurora PD,18 to 20,Male,African American,MJProduction,1
2012,Arapahoe,Aurora PD,21 or older,Female,Asian,MJProduction,1
2012,Arapahoe,Aurora PD,18 to 20,Male,African American,MJSales,1
2012,Arapahoe,Aurora PD,18 to 20,Male,Hispianic,MJSales,1
2012,Arapahoe,Aurora PD,18 to 20,Male,White,MJSales,1
2012,Arapahoe,Centennial PD,18 to 20,Male,African American,MJPossession,2
2012,Arapahoe,Centennial PD,18 to 20,Male,White,MJPossession,14
2012,Arapahoe,Englewood PD,21 or older,Male,Unknown,MJPossession,4
2012,Arapahoe,Englewood PD,Under 18,Male,African American,MJPossession,4
2012,Arapahoe,Englewood PD,Under 18,Male,Hispianic,MJPossession,14
2012,Arapahoe,Englewood PD,Under 18,Male,White,MJPossession,12
2012,Arapahoe,Greenwood Village PD,18 to 20,Male,Hispianic,MJPossession,2
2012,Arapahoe,Greenwood Village PD,18 to 20,Male,White,MJPossession,16
2012,Arapahoe,Greenwood Village PD,21 or older,Female,African American,MJPossession,1
2012,Arapahoe,Greenwood Village PD,21 or older,Female,Hispianic,MJPossession,1
2012,Arapahoe,Greenwood Village PD,21 or older,Male,Asian,MJPossession,2
2012,Arapahoe,Littleton PD,18 to 20,Male,Hispianic,MJPossession,7
2012,Arapahoe,Littleton PD,18 to 20,Male,White,MJPossession,24
2012,Arapahoe,Littleton PD,21 or older,Female,Hispianic,MJPossession,2
2012,Arapahoe,Sheridan PD,Under 18,Male,White,MJPossession,1
2012,Denver,Denver PD - CRIMINAL,Under 18,Female,Hispianic,MJPossession,2
2012,Denver,Denver PD - CRIMINAL,Under 18,Male,Hispianic,MJPossession,7
2012,Denver,Denver PD - CRIMINAL,21 or older,Male,African American,MJProduction,2
2012,Denver,Denver PD - CRIMINAL,21 or older,Female,African American,MJSales,2
2012,Denver,Denver PD - CRIMINAL,21 or older,Female,Hispianic,MJSales,1
2012,Denver,Denver PD - CRIMINAL,21 or older,Female,White,MJSales,3
2012,Denver,Denver PD - CRIMINAL,21 or older,Male,African American,MJSales,24
2012,Denver,Denver PD - CRIMINAL,21 or older,Male,Hispianic,MJSales,13
2012,Denver,Denver PD - CRIMINAL,21 or older,Male,White,MJSales,19
2012,Denver,Denver PD - CRIMINAL,Under 18,Male,Hispianic,MJSales,5
2012,Denver,Denver PD - CRIMINAL,21 or older,Male,White,MJUnknown,2
2012,Denver,UNIVERSITY OF COLORADO PD - DENVER ANSCHUTZ MEDICAL CAMPUS,18 to 20,Female,Hispianic,MJPossession,1
2012,Douglas,Castle Rock PD,18 to 20,Male,Hispianic,MJPossession,2
2012,Douglas,Castle Rock PD,18 to 20,Male,White,MJPossession,20
2012,Douglas,Castle Rock PD,Under 18,Female,White,MJPossession,5
2012,Douglas,Douglas County SO,21 or older,Female,White,MJPossession,15
2012,Douglas,Douglas County SO,Under 18,Male,Hispianic,MJPossession,2
2012,Douglas,Lone Tree PD,21 or older,Female,Hispianic,MJPossession,2
2012,Douglas,Lone Tree PD,21 or older,Male,White,MJPossession,32
2012,Douglas,Parker PD,21 or older,Male,Hispianic,MJPossession,2
2012,Douglas,Parker PD,21 or older,Male,White,MJPossession,15
2012,Eagle,Avon PD,18 to 20,Male,White,MJPossession,7
2012,Eagle,Eagle County SO,21 or older,Female,Hispianic,MJPossession,1
2012,Eagle,Eagle County SO,21 or older,Female,White,MJPossession,5
2012,Eagle,Eagle County SO,21 or older,Male,Hispianic,MJPossession,3
2012,Eagle,Eagle County SO,21 or older,Male,White,MJPossession,29
2012,Eagle,Eagle County SO,Under 18,Male,Hispianic,MJPossession,5
2012,Eagle,Eagle County SO,18 to 20,Male,Hispianic,MJUnknown,6
2012,Eagle,Eagle County SO,18 to 20,Male,White,MJUnknown,4
2012,Eagle,Vail PD,21 or older,Female,Hispianic,MJPossession,1
2012,Eagle,Vail PD,21 or older,Male,Asian,MJPossession,1
2012,Eagle,Vail PD,21 or older,Male,White,MJPossession,70
2012,Eagle,Vail PD,18 to 20,Female,Hispianic,MJUnknown,1
2012,Eagle,Vail PD,18 to 20,Male,White,MJUnknown,1
2012,El Paso,Colorado Springs PD,18 to 20,Male,Asian,MJPossession,1
2012,El Paso,Colorado Springs PD,18 to 20,Male,White,MJPossession,43
2012,El Paso,Colorado Springs PD,Under 18,Female,African American,MJPossession,3
2012,El Paso,Colorado Springs PD,Under 18,Female,White,MJPossession,27
2012,El Paso,Colorado Springs PD,21 or older,Male,African American,MJProduction,1
2012,El Paso,Colorado Springs PD,21 or older,Male,Asian,MJProduction,1
2012,El Paso,Colorado Springs PD,21 or older,Male,White,MJProduction,12
2012,El Paso,Colorado Springs PD,Under 18,Male,White,MJSales,5
2012,El Paso,Colorado Springs PD,21 or older,Male,White,MJUnknown,3
2012,El Paso,El Paso County SO,18 to 20,Female,Hispianic,MJUnknown,1
2012,El Paso,El Paso County SO,18 to 20,Male,Hispianic,MJUnknown,3
2012,El Paso,El Paso County SO,Under 18,Female,African American,MJUnknown,1
2012,El Paso,El Paso County SO,Under 18,Female,Hispianic,MJUnknown,1
2012,El Paso,El Paso County SO,Under 18,Female,White,MJUnknown,8
2012,El Paso,El Paso County SO,Under 18,Male,African American,MJUnknown,3
2012,El Paso,El Paso County SO,Under 18,Male,White,MJUnknown,31
2012,El Paso,Fountain PD,21 or older,Male,African American,MJPossession,10
2012,El Paso,Fountain PD,21 or older,Male,Asian,MJPossession,1
2012,El Paso,Fountain PD,21 or older,Male,White,MJPossession,24
2012,El Paso,Fountain PD,18 to 20,Male,White,MJProduction,1
2012,El Paso,Fountain PD,18 to 20,Female,African American,MJUnknown,1
2012,El Paso,Fountain PD,18 to 20,Male,White,MJUnknown,1
2012,El Paso,Fountain PD,Under 18,Female,White,MJUnknown,1
2012,El Paso,Manitou Springs PD,21 or older,Male,African American,MJPossession,2
2012,El Paso,Manitou Springs PD,21 or older,Male,Hispianic,MJPossession,1
2012,El Paso,Palmer Lake Marshal,18 to 20,Male,African American,MJPossession,1
2012,El Paso,Pikes Peak Community College PD,Under 18,Female,White,MJPossession,1
2012,El Paso,Pikes Peak Community College PD,Under 18,Male,White,MJSales,1
2012,El Paso,University of Colorado Springs,18 to 20,Female,White,MJPossession,4
2012,El Paso,University of Colorado Springs,18 to 20,Male,Asian,MJPossession,1
2012,El Paso,University of Colorado Springs,18 to 20,Male,White,MJPossession,25
2012,Elbert,Elbert County SO,18 to 20,Male,White,MJPossession,1
2012,Elbert,Elizabeth PD,18 to 20,Male,White,MJPossession,2
2012,Fremont,Canon City PD,18 to 20,Male,White,MJPossession,5
2012,Fremont,Canon City PD,Under 18,Female,White,MJPossession,1
2012,Clear Creek,Empire PD,21 or older,Male,White,MJPossession,1
2012,Clear Creek,Empire PD,Under 18,Male,White,MJSales,1
2012,Clear Creek,Idaho Springs PD,21 or older,Male,Asian,MJPossession,2
2012,Delta,Delta PD,21 or older,Male,White,MJPossession,4
2012,Denver,Denver PD - CRIMINAL,21 or older,Male,African American,MJPossession,4
2012,Denver,Denver PD - CRIMINAL,21 or older,Male,White,MJPossession,13
2012,Denver,Denver PD - CRIMINAL,Under 18,Female,White,MJPossession,2
2012,Denver,Denver PD - CRIMINAL,Under 18,Male,African American,MJPossession,5
2012,Denver,Denver PD - CRIMINAL,21 or older,Male,Hispianic,MJProduction,1
2012,Denver,Denver PD - CRIMINAL,18 to 20,Female,African American,MJSales,1
2012,Denver,Denver PD - CRIMINAL,18 to 20,Male,African American,MJSales,9
2012,Denver,Denver PD - CRIMINAL,18 to 20,Male,Hispianic,MJSales,6
2012,Denver,Denver PD - CRIMINAL,Under 18,Male,African American,MJSales,2
2012,Denver,UNIVERSITY OF COLORADO PD - DENVER ANSCHUTZ MEDICAL CAMPUS,18 to 20,Female,White,MJPossession,1
2012,Denver,UNIVERSITY OF COLORADO PD - DENVER ANSCHUTZ MEDICAL CAMPUS,21 or older,Male,African American,MJPossession,3
2012,Douglas,Castle Rock PD,18 to 20,Female,African American,MJPossession,1
2012,Douglas,Castle Rock PD,18 to 20,Female,White,MJPossession,5
2012,Douglas,Castle Rock PD,Under 18,Male,African American,MJPossession,2
2012,Douglas,Castle Rock PD,Under 18,Male,Hispianic,MJPossession,2
2012,Douglas,Castle Rock PD,Under 18,Male,White,MJPossession,26
2012,Douglas,Castle Rock PD,18 to 20,Male,White,MJSales,1
2012,Douglas,Douglas County SO,18 to 20,Female,Hispianic,MJPossession,1
2012,Larimer,DPS - COLORADO STATE UNIVERSITY-FT COLLINS,18 to 20,Female,White,MJPossession,1
2012,Larimer,DPS - COLORADO STATE UNIVERSITY-FT COLLINS,18 to 20,Male,White,MJSales,2
2012,Larimer,DPS - COLORADO STATE UNIVERSITY-FT COLLINS,21 or older,Female,White,MJUnknown,2
2012,Larimer,DPS - COLORADO STATE UNIVERSITY-FT COLLINS,Under 18,Female,Hispianic,MJUnknown,1
2012,Larimer,Estes Park PD,21 or older,Female,Hispianic,MJPossession,1
2012,Larimer,Estes Park PD,21 or older,Male,Hispianic,MJPossession,1
2012,El Paso,University of Colorado Springs,18 to 20,Male,African American,MJPossession,2
2012,El Paso,University of Colorado Springs,18 to 20,Male,White,MJSales,1
2012,Elbert,Elbert County SO,Under 18,Male,White,MJPossession,2
2012,Elbert,Elizabeth PD,21 or older,Male,Hispianic,MJPossession,1
2012,Elbert,Elizabeth PD,21 or older,Male,White,MJPossession,1
2012,Fremont,Canon City PD,18 to 20,Female,White,MJPossession,1
2012,Fremont,Florence PD,21 or older,Male,White,MJPossession,6
2012,Fremont,Fremont County SO,21 or older,Male,White,MJPossession,3
2012,Garfield,Garfield County SO,18 to 20,Male,Hispianic,MJPossession,1
2012,Garfield,Glenwood Springs PD,18 to 20,Female,White,MJPossession,9
2012,Garfield,Glenwood Springs PD,18 to 20,Male,Hispianic,MJPossession,7
2012,Garfield,Glenwood Springs PD,Under 18,Male,White,MJPossession,8
2012,Garfield,Glenwood Springs PD,Under 18,Female,White,MJUnknown,1
2012,Garfield,Parachute PD,18 to 20,Male,White,MJPossession,4
2012,Garfield,Parachute PD,Under 18,Male,White,MJPossession,3
2012,Gilpin,Black Hawk PD,21 or older,Female,White,MJPossession,13
2012,Gilpin,Black Hawk PD,21 or older,Male,Asian,MJPossession,2
2012,Gilpin,Gilpin County SO,18 to 20,Male,White,MJPossession,1
2012,Grand,Granby PD,21 or older,Male,Hispianic,MJPossession,1
2012,Grand,Granby PD,Under 18,Male,Hispianic,MJSales,1
2012,Gunnison,Gunison PD,18 to 20,Female,White,MJPossession,4
2012,Gunnison,Gunison PD,21 or older,Male,White,MJPossession,6
2012,Jefferson,Arvada PD,21 or older,Female,White,MJPossession,20
2012,Jefferson,Arvada PD,21 or older,Male,Hispianic,MJPossession,10
2012,Jefferson,Arvada PD,Under 18,Female,Hispianic,MJPossession,6
2012,Jefferson,Arvada PD,21 or older,Male,White,MJSales,1
2012,Jefferson,Arvada PD,18 to 20,Female,White,MJUnknown,5
2012,Jefferson,Arvada PD,18 to 20,Male,Hispianic,MJUnknown,5
2012,Jefferson,Arvada PD,Under 18,Male,African American,MJUnknown,5
2012,Jefferson,Arvada PD,Under 18,Male,White,MJUnknown,48
2012,Jefferson,DPS - COLORADO SCHOOL OF MINES - GOLDEN,18 to 20,Female,White,MJPossession,1
2012,Jefferson,Edgewater PD,Under 18,Female,Hispianic,MJPossession,1
2012,Jefferson,Edgewater PD,Under 18,Female,White,MJPossession,2
2012,Jefferson,Golden PD,21 or older,Male,African American,MJPossession,3
2012,Jefferson,Golden PD,21 or older,Male,Hispianic,MJPossession,2
2012,Jefferson,Golden PD,21 or older,Male,White,MJPossession,15
2012,Jefferson,Golden PD,Under 18,Female,White,MJPossession,13
2012,Jefferson,Jefferson County SO,18 to 20,Male,African American,MJPossession,2
2012,Jefferson,Jefferson County SO,18 to 20,Male,Asian,MJPossession,3
2012,Jefferson,Jefferson County SO,Under 18,Female,Native American,MJPossession,1
2012,Jefferson,Jefferson County SO,Under 18,Male,African American,MJPossession,6
2012,Jefferson,Jefferson County SO,Under 18,Male,Hispianic,MJPossession,9
2012,Jefferson,Jefferson County SO,Under 18,Male,White,MJPossession,97
2012,Jefferson,Lakeside PD,21 or older,Male,Hispianic,MJPossession,1
2012,Jefferson,Lakeside PD,21 or older,Male,White,MJPossession,7
2012,Jefferson,Lakewood PD,18 to 20,Female,Hispianic,MJPossession,1
2012,Jefferson,Lakewood PD,18 to 20,Female,White,MJPossession,5
2012,Jefferson,Lakewood PD,18 to 20,Male,Hispianic,MJPossession,10
2012,Jefferson,Lakewood PD,Under 18,Male,African American,MJPossession,5
2012,Jefferson,Lakewood PD,Under 18,Male,Hispianic,MJPossession,23
2012,Jefferson,Lakewood PD,Under 18,Male,White,MJPossession,77
2012,Jefferson,Lakewood PD,18 to 20,Male,White,MJUnknown,2
2012,Jefferson,Lakewood PD,21 or older,Female,Hispianic,MJUnknown,2
2012,Jefferson,Lakewood PD,21 or older,Female,White,MJUnknown,2
2012,Jefferson,Lakewood PD,21 or older,Male,Hispianic,MJUnknown,2
2012,Jefferson,Lakewood PD,Under 18,Female,Hispianic,MJUnknown,1
2012,Jefferson,Red Rocks PD,18 to 20,Male,White,MJPossession,4
2012,Jefferson,Red Rocks PD,21 or older,Female,White,MJPossession,1
2012,Jefferson,Wheat Ridge PD,21 or older,Female,White,MJPossession,6
2012,Jefferson,Wheat Ridge PD,21 or older,Male,Hispianic,MJPossession,2
2012,Jefferson,Wheat Ridge PD,Under 18,Female,Hispianic,MJPossession,5
2012,Jefferson,Wheat Ridge PD,Under 18,Male,Native American,MJPossession,1
2012,Kit Carson,Burlington PD,21 or older,Male,White,MJPossession,4
2012,Kit Carson,Kit Carson County SO,Under 18,Male,Hispianic,MJPossession,2
2012,Kit Carson,Kit Carson County SO,18 to 20,Male,White,MJSales,1
2012,La Plata,Durango PD,18 to 20,Male,White,MJPossession,3
2012,La Plata,Durango PD,21 or older,Female,White,MJPossession,1
2012,La Plata,Durango PD,21 or older,Male,Hispianic,MJPossession,1
2012,La Plata,Durango PD,Under 18,Male,Unknown,MJPossession,1
2012,La Plata,Fort Lewis College PD,18 to 20,Female,White,MJPossession,1
2012,La Plata,Fort Lewis College PD,18 to 20,Male,White,MJUnknown,1
2012,Lake,Lake County SO,18 to 20,Male,White,MJPossession,2
2012,Lake,Lake County SO,21 or older,Female,White,MJPossession,1
2012,Jefferson,DPS - COLORADO SCHOOL OF MINES - GOLDEN,18 to 20,Male,White,MJPossession,2
2012,Jefferson,Golden PD,18 to 20,Male,Hispianic,MJPossession,3
2012,Jefferson,Golden PD,Under 18,Male,African American,MJPossession,1
2012,Jefferson,Golden PD,Under 18,Male,White,MJPossession,8
2012,Jefferson,Jefferson County SO,18 to 20,Female,Asian,MJPossession,1
2012,Jefferson,Jefferson County SO,21 or older,Female,White,MJPossession,33
2012,Jefferson,Jefferson County SO,21 or older,Male,Hispianic,MJPossession,7
2012,Jefferson,Jefferson County SO,Under 18,Female,African American,MJPossession,2
2012,Jefferson,Jefferson County SO,Under 18,Female,Hispianic,MJPossession,2
2012,Jefferson,Jefferson County SO,21 or older,Female,White,MJProduction,1
2012,Jefferson,Jefferson County SO,21 or older,Male,African American,MJSales,1
2012,Jefferson,Jefferson County SO,21 or older,Male,White,MJSales,1
2012,Jefferson,Jefferson County SO,Under 18,Male,White,MJUnknown,1
