DATE,CANGSP
1997-01-01,1071327.2
1998-01-01,1147944.3
1999-01-01,1247734.4
2000-01-01,1366166.5
2001-01-01,1387551.8
2002-01-01,1439341.7
2003-01-01,1530559.8
2004-01-01,1632428.7
2005-01-01,1752648.9
2006-01-01,1874851.3
2007-01-01,1955320.9
2008-01-01,1990187.9
2009-01-01,1919271.1
2010-01-01,1973511.9
2011-01-01,2049336.8
2012-01-01,2144089.6
2013-01-01,2261510.6
2014-01-01,2399077.7
2015-01-01,2559643.2
2016-01-01,2671100.5
2017-01-01,2831038.4
2018-01-01,2975083.0
2019-01-01,3132800.6
