IncidentYear,County,Agency,NCICCODE,AgeGroup,Gender,RaceCode,Location,LocationGroup,NumberOfCases
2016,Moffat,Moffat County SO,MJPossession,,,,Other/Unknown,Other,1
2016,Moffat,PD CRAIG,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,2
2016,Montezuma,Montezuma County SO,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,3
2016,Montezuma,Montezuma County SO,MJPossession,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,1
2016,Montrose,MONTROSE COUNTY SHERIFF,MJPossession,,,,Residence/Home,Residence/Home,2
2016,Montrose,Montrose PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,6
2016,Montrose,Montrose PD,MJPossession,,,,Residence/Home,Residence/Home,3
2016,Montrose,Montrose PD,MJSales,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,1
2016,Morgan,Brush PD,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,5
2016,Morgan,Fort Morgan PD,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,6
2016,Park,Park County SO,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,1
2016,Park,Park County SO,MJProduction,,,,Residence/Home,Residence/Home,1
2016,Park,Park County SO,MJSales,,,,School – Elementary/Secondary,School – Elementary/Secondary,1
2016,Park,Park County SO,MJUnknown,,,,Residence/Home,Residence/Home,1
2016,Pueblo,Pueblo County SO,MJUnknown,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,1
2016,Pueblo,Pueblo PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,1
2016,Pueblo,Pueblo PD,MJPossession,,,,Specialty Store,Specialty Store,1
2016,Pueblo,Pueblo PD,MJUnknown,,,,Commercial/Office Building,Workplace,3
2016,Rio Blanco,Rangely PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,1
2016,Rio Grande,Del Norte PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,1
2016,Rio Grande,Rio Grande County SO,MJPossession,,,,Government/Public Building,Public building,1
2016,Routt,Steamboat Springs PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,10
2016,Summit,Breckenridge PD,MJPossession,,,,Restaurant,Restaurant,1
2016,Summit,Breckenridge PD,MJUnknown,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,1
2016,Summit,Summit County SO,MJPossession,,,,Jail/Prison/Penitentiary/Corrections Facility,Jail/Prison/Penitentiary/Corrections Facility,1
2016,Summit,Summit County SO,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,1
2016,Teller,Cripple Creek PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,1
2016,Teller,Woodland Park PD,MJPossession,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,4
2016,Teller,Woodland Park PD,MJPossession,,,,Residence/Home,Residence/Home,3
2016,Weld,Ault PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,1
2016,Weld,DPS - UNIVERSITY OF NORTHERN COLORADO - GREELEY,MJPossession,,,,Field/Woods,Public space,1
2016,Mesa,Grand Junction PD,MJPossession,,,,Park/Playground,Public space,5
2016,Mesa,Grand Junction PD,MJPossession,,,,Residence/Home,Residence/Home,24
2016,Mesa,Grand Junction PD,MJPossession,,,,School – College/University,School – College/University,18
2016,Mesa,Grand Junction PD,MJProduction,,,,Commercial/Office Building,Workplace,1
2016,Mesa,Grand Junction PD,MJProduction,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,1
2016,Mesa,Grand Junction PD,MJProduction,,,,Residence/Home,Residence/Home,2
2016,Mesa,Grand Junction PD,MJSales,,,,Government/Public Building,Public building,1
2016,Mesa,Grand Junction PD,MJSmuggle,,,,Specialty Store,Specialty Store,4
2016,Mesa,Grand Junction PD,MJUnknown,,,,Air/Bus/Train Terminal,Public space,1
2016,Mesa,Grand Junction PD,MJUnknown,,,,Department/Discount Store,Retail site/bank/restaurant/bar,1
2016,Mesa,Grand Junction PD,MJUnknown,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,5
2016,Mesa,Grand Junction PD,MJUnknown,,,,Restaurant,Restaurant,1
2016,Mesa,Mesa County SO,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,5
2016,Mesa,Mesa County SO,MJPossession,,,,Specialty Store,Specialty Store,1
2016,Mesa,Mesa County SO,MJUnknown,,,,Residence/Home,Residence/Home,1
2016,Mesa,Palisade PD,MJUnknown,,,,Residence/Home,Residence/Home,1
2016,Moffat,Moffat County SO,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,5
2016,Moffat,Moffat County SO,MJPossession,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,1
2016,Moffat,Moffat County SO,MJPossession,,,,Residence/Home,Residence/Home,3
2016,Moffat,PD CRAIG,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,11
2016,Moffat,PD CRAIG,MJSales,,,,Restaurant,Restaurant,1
2016,Montezuma,Cortez PD,MJPossession,,,,Specialty Store,Specialty Store,1
2016,Montrose,MONTROSE COUNTY SHERIFF,MJPossession,,,,Field/Woods,Public space,1
2016,Montrose,MONTROSE COUNTY SHERIFF,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,3
2016,Montrose,MONTROSE COUNTY SHERIFF,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,4
2016,Montrose,Montrose PD,MJPossession,,,,Department/Discount Store,Retail site/bank/restaurant/bar,1
