"SAGDP2N Gross domestic product (GDP) by state 1/"
"Gross domestic product (GDP) by state: All industry total (Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"30000","Montana",19323.1,20450.0,20821.0,21878.4,22793.3,23868.0,25647.4,27894.9,30528.0,32967.0,36090.7,36814.5,36031.8,38103.2,40616.4,42041.6,43136.8,44608.4,46269.3,45680.3,47946.9,50692.3,52934.6
"31000","Nebraska",49945.6,51917.2,53704.7,56541.1,59598.4,61622.3,66402.1,70320.2,74120.0,78283.1,83299.6,85661.3,87107.4,91785.5,99954.2,102605.3,106516.8,111386.8,115663.9,116879.2,120949.7,124705.4,130011.8
"32000","Nevada",60221.3,65105.4,71444.7,76654.2,80380.2,84786.0,90367.5,103445.9,117056.1,127008.3,131492.6,129095.5,120987.7,123652.3,126675.6,127789.1,130686.6,134518.4,143554.0,150287.3,158502.8,169179.6,178199.4
"33000","New Hampshire",38211.6,40566.7,41873.3,45222.8,46625.8,48691.9,51378.2,54125.9,56346.8,59395.5,60711.2,60865.3,61908.9,64170.7,65449.6,67635.7,69495.5,72304.4,75832.0,78509.0,80838.4,84584.1,87634.1
"34000","New Jersey",307689.0,319679.8,336470.9,361845.3,373600.0,388278.1,404967.3,422633.4,440493.8,464317.7,480445.0,494855.4,486209.5,494977.8,498959.3,519569.0,537346.4,545465.3,569116.5,581504.4,590696.6,612979.3,634783.6
"35000","New Mexico",52502.5,50674.9,53082.3,55239.7,55970.3,58033.8,62865.4,69696.5,73662.3,77396.5,80543.4,83691.3,81990.3,84037.9,86683.3,87644.8,88533.0,92586.3,91322.0,91240.2,94456.7,100079.9,105143.4
"36000","New York",718804.0,744716.1,792569.0,836201.5,873780.7,884104.3,902544.3,952281.8,1012180.8,1068634.7,1109748.6,1101636.8,1150993.9,1212485.1,1237277.6,1323400.8,1361962.9,1425724.1,1485620.8,1545987.7,1608890.2,1705010.2,1772260.7
"37000","North Carolina",234009.7,246928.6,264836.2,277994.1,288184.8,297906.7,309351.3,327275.9,351337.3,382799.0,396632.2,413064.9,406832.9,415710.0,426569.3,439539.7,455266.8,476260.2,502808.4,520356.6,541040.7,567451.7,591600.9
"38000","North Dakota",15767.7,16826.2,17017.3,18013.5,18960.6,20229.1,22072.5,23151.9,24461.1,26209.0,28781.7,31852.1,32239.7,35689.4,41437.5,51624.6,53733.4,58679.9,55069.1,50792.3,52607.1,56286.8,57180.9
"39000","Ohio",343084.8,361511.6,375814.4,391320.8,395710.0,411148.4,424426.6,445410.3,465892.9,477200.7,490823.7,491609.1,478023.5,496457.7,523355.0,540882.4,560936.8,592876.2,609321.7,621542.6,642351.4,675029.7,695361.6
"40000","Oklahoma",79044.3,81208.0,84089.8,90893.0,96759.9,99151.0,105130.0,112872.2,124370.4,136949.6,144799.5,159761.3,145858.2,153215.1,165091.4,173238.8,181858.2,193546.4,184140.4,177813.0,185485.6,198595.8,202036.1
"41000","Oregon",100927.9,105142.7,107564.3,117291.2,117295.4,121200.6,127153.5,136304.4,143592.0,155166.1,161431.6,165050.8,160574.9,163827.0,170620.6,174427.6,179389.5,188777.5,202718.6,214617.5,227042.2,241978.1,253623.2
"42000","Pennsylvania",356720.2,373707.8,390499.0,408203.4,424772.9,436474.1,454517.0,480811.1,504870.6,525666.1,559142.6,581527.3,576963.5,599025.1,618555.4,640663.1,663334.5,691173.2,711787.2,726884.5,745140.8,778374.6,808737.5
"44000","Rhode Island",28922.8,30821.2,32284.0,34520.9,35981.9,38110.6,40249.7,43218.3,45133.1,47684.8,47759.9,47078.4,47906.6,49472.4,50169.8,51607.4,52797.5,54297.7,56560.7,57529.4,58117.2,59924.6,61883.8
"45000","South Carolina",97423.1,103467.0,110095.7,115176.6,119290.0,124178.0,130313.7,135143.4,142615.1,150661.4,159101.4,161797.9,159911.4,163844.0,170077.9,175328.5,182837.0,191981.5,204000.4,213584.6,223414.0,235286.9,247543.8
"46000","South Dakota",19036.2,20216.8,21045.5,22669.2,23406.1,26164.5,27196.8,29030.5,30535.0,31824.1,34816.0,36475.6,36341.5,37709.2,41690.2,43550.7,44956.5,46369.9,47630.5,48731.3,50342.9,53239.0,54940.9
"47000","Tennessee",154366.8,167439.9,176083.2,182089.1,185855.0,195331.6,203328.4,217939.2,228126.3,240111.1,244194.2,251549.8,250379.4,255696.1,267487.6,283482.0,293265.3,303788.8,323658.5,334435.7,346283.0,362737.1,376582.4
"48000","Texas",610141.2,645289.5,680181.9,738804.4,772909.2,787719.8,829722.9,907476.2,986202.7,1084171.8,1178221.1,1236361.8,1162971.8,1237304.0,1331138.4,1410447.8,1500554.3,1568070.8,1564374.3,1567687.1,1665428.0,1795635.1,1843802.7
"49000","Utah",57686.4,62288.5,66038.5,70383.8,73392.0,76159.1,79138.0,85783.4,94303.0,106028.3,114657.1,115885.0,113517.8,118098.3,124689.9,128764.2,134529.5,141528.0,148917.8,157442.7,167613.4,181622.7,192519.2
"50000","Vermont",15451.6,16080.3,17161.8,18312.7,19271.8,20161.5,21124.0,22657.8,23500.9,24304.7,24689.3,25667.8,25870.7,27113.3,28134.6,28893.6,28966.0,29690.7,30663.7,31430.4,32040.7,32981.0,34013.4
"51000","Virginia",215126.0,231505.4,249106.3,267618.0,284396.6,293399.4,310132.7,332668.5,360842.3,378981.2,392929.0,400305.5,409441.9,423563.9,433009.6,445120.7,455166.9,464514.4,484530.8,496570.2,511876.3,533510.4,556905.2
"53000","Washington",193770.2,209710.4,230237.4,238137.1,239763.4,248152.7,257830.2,269983.0,295858.7,317313.8,346491.1,355596.6,353705.5,365799.7,379796.4,400623.3,419671.3,442930.0,471702.8,493634.5,527707.5,575416.7,612996.5
"54000","West Virginia",38808.2,40053.8,41796.4,42577.4,43982.8,45433.6,46747.5,49280.5,53292.7,56578.0,58628.8,61994.1,63032.5,65304.7,68446.8,69335.6,70998.6,71769.1,70815.9,70006.2,72853.1,77632.5,78863.9
"55000","Wisconsin",153424.9,162616.5,172328.7,180616.3,187974.0,194844.9,203048.5,215016.8,225590.7,235848.0,243841.3,244634.3,245518.6,254615.2,264166.4,274540.5,281832.6,293836.7,306498.9,313440.2,320610.0,337553.1,349416.5
"56000","Wyoming",14708.7,14883.8,15715.0,17191.8,18691.2,19149.7,21057.8,23220.1,27219.2,32455.9,36613.5,42550.2,36085.6,37442.6,39415.2,38437.7,38943.0,39431.7,37860.7,35704.0,37271.2,39703.2,40420.1
"91000","New England",488808.5,514295.7,543195.3,590373.1,611131.7,627331.4,651782.7,693746.8,725596.3,763886.1,800009.8,812266.2,814448.6,840719.8,858450.6,889595.8,904710.5,933950.4,986167.4,1013113.8,1045211.2,1092293.2,1135663.7
"92000","Mideast",1628427.7,1699914.3,1798908.6,1902819.1,1989795.0,2043084.2,2112672.5,2234303.4,2360987.8,2481579.3,2587414.1,2628654.8,2674739.9,2786889.4,2853339.6,2992665.0,3079378.7,3202883.9,3333694.3,3440758.1,3547218.2,3720943.4,3863001.0
"93000","Great Lakes",1382455.5,1457839.2,1538985.4,1613701.4,1638187.8,1694354.4,1754084.1,1839828.8,1918636.4,1987668.1,2055697.3,2044105.8,1995741.7,2079914.5,2165484.4,2252862.7,2320059.0,2426414.0,2513823.8,2565106.2,2639088.9,2765850.2,2846933.4
"94000","Plains",561436.6,588400.7,614136.7,653913.6,671386.2,697807.6,735363.4,783009.3,823497.6,859065.7,906114.3,935487.7,929203.6,965704.6,1011765.6,1061517.9,1096034.3,1144428.7,1178842.4,1195024.3,1228907.2,1285975.7,1325462.4
"95000","Southeast",1827995.8,1947181.0,2075494.6,2181223.1,2271574.9,2364246.0,2491434.1,2675392.3,2888236.2,3058230.0,3154453.5,3193647.8,3144095.8,3239713.5,3322619.1,3428788.9,3535563.5,3672828.3,3847252.4,3967195.8,4133325.6,4352396.9,4531095.2
"96000","Southwest",873978.9,920458.5,972636.6,1049547.1,1097120.0,1124380.2,1190483.1,1295435.4,1412467.9,1546672.1,1665809.2,1739077.0,1634585.0,1722682.3,1840794.2,1939399.5,2045953.1,2139054.8,2138451.7,2149796.8,2275516.9,2445029.1,2521101.2
"97000","Rocky Mountain",258158.8,279085.7,300958.8,328277.9,339916.5,349058.9,363029.5,385139.0,420315.7,453693.0,487377.3,506664.2,488068.2,504520.0,525548.1,540617.5,566148.0,595058.4,617122.2,635659.9,674293.4,723561.8,762525.5
"98000","Far West",1489747.2,1589752.0,1721007.0,1866584.7,1896428.9,1968564.3,2086623.5,2230911.0,2407603.1,2581146.6,2708962.6,2761547.4,2669902.1,2747998.8,2853393.3,2978323.8,3123691.0,3298873.5,3510990.7,3665295.2,3885646.5,4109050.7,4327749.6
"Legend / Footnotes:"
"1/ Gross Domestic Product (GDP) is in millions of current dollars (not adjusted for inflation). Industry detail is based on the 2012 North American Industry Classification System (NAICS). Calculations are performed on unrounded data."
"* For the All industry total and Government and government enterprises, the difference between the United States and sum-of-states reflects overseas activity, economic activity taking place outside the borders of the United States by the military and associated federal civilian support staff."
"Last updated: October 2, 2020-- revised statistics for 1997-2019."
